用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808144746190303,毛飞廉_Willian,2022-08-30 12:23:33,浙江,我总怀疑你在擦边，但我又没有证据,9.7万,1028
4808144516288740,Steve专属的泳道,2022-08-30 12:23:33,广东,无尽挑战，尽情超越#海豹运动大使# 拥豹无界,5179,1008
4808143278708087,steve思思0211,2022-08-30 12:23:33,广东,很帅很酷,635,1010
4808144146138649,百度汪顺吧,2022-08-30 12:23:33,浙江,在追求极致的路上，一往无前。@汪順Steve ,3321,1005
4808140980224470,花叶春木街_Jan,2022-08-30 12:23:33,江苏,哇偶哇偶好帅哦,413,1011
4808140669321318,棋士布林克,2022-08-30 12:23:33,陕西,好帅,46,4
4808165759647956,Daidaidaiema,2022-08-30 12:23:33,中国香港,高質素製作水平，拍出型格一面，水動感的顺哥與海豹绝配,1609,8
4808141297946259,要走下去的飞沙,2022-08-30 12:23:33,上海,好帅好酷诱人,217,5
4808200110737307,九只鲸_0417,2022-08-30 12:23:33,甘肃,芜湖 好酷,61,2
4808150018690239,当地小有名气熬夜秃头运动员,2022-08-30 12:23:33,浙江,请问报你名字买车打折吗,527,3
4808185594249416,虞頭欣的傲娇迪,2022-08-30 12:23:33,浙江,恭喜,114,3
4808142901480541,一帆风顺LSC,2022-08-30 12:23:33,浙江,宣传片燃，代言人酷,10,4
4808141437670909,hhj_abbie,2022-08-30 12:23:33,上海,今天就靠着帅哥这支广告下饭了,408,3
4808141295060665,Jerry爱萌二萌六,2022-08-30 12:23:33,广东,想听男神原声,76,3
4808148001494479,张朝阳,2022-08-30 12:23:33,陕西,阔以,43.4万,2
4808142024086051,HJial-嘉,2022-08-30 12:23:33,广东,要是视频有原声就好啦,107,4
4808143072136336,winnie阿咕,2022-08-30 12:23:33,广东,好帅的代言人哟,372,3
4808141944651917,Ham07burger_,2022-08-30 12:23:33,浙江,大帅哥,204,3
4808140770773808,爱土豆呀,2022-08-30 12:23:33,中国香港,哇！！,1411,3
4808559752385544,微博基金,2022-08-31 16:10:24,北京,大家正在@微博基金 热议【招商大盘蓝筹混合】，快来围观吧！一键直达：$招商大盘蓝筹混合 of217010$,292.4万,0
4808552257162163,小肉包爱龙龙200210,2022-08-31 11:50:19,辽宁,啥也不懂，我胡说八道，我觉得这个是巴菲特慢慢套钱的一个计划，别的项目都现在都套不出来了(⊙o⊙)！世界经济下滑，消费水平建立，啥车也卖出去，啥房也卖不出去，消费紧缩,36,0
4808527304201340,快乐投资人李伟,2022-08-31 14:00:16,北京,小股票换手率高，很容易被操纵，权重股必须资金形成合力才能扭转趋势,18.7万,3
4808559252999958,股市常虹1,2022-08-31 16:07:11,湖南,在线免费解析,10,1
4808559236485070,股市常虹1,2022-08-31 16:07:11,湖南,个股咨询的私信我,10,1
4808538746786771,cccc_are,2022-08-31 14:46:53,浙江,有才,213,7
4808540838956599,夹子肚子疼,2022-08-31 14:46:53,北京,奇怪 你怎么可以发语音！,249,3
4808539640696281,崴崴要做喵喵咪,2022-08-31 14:46:53,山东,哈哈哈哈,370,2
4808544094519984,最后一只雅蠛碟,2022-08-31 14:46:53,河北,老巴移情别恋啦,368,0
4808551560644701,篱笆外的猫___,2022-08-31 14:46:53,山西,“白狐”！！！好久没听过这个歌了,101,0
4808546208454639,不知风起枫落,2022-08-31 14:46:53,福建,人家还是厉害,390,0
4808541456564513,王牌田中王,2022-08-31 14:46:53,上海,牛,101,0
4808541212508162,没实力就别有脾气Y,2022-08-31 14:46:53,湖南,厉害,56,0
4808541359834566,陈小fairy,2022-08-31 14:46:53,山东,大迪迪今天有点狠,148,0
4808553016068018,韓小蝦,2022-08-31 14:46:53,上海,想知道多少钱可以买,497,0
4808538746786771,cccc_are,2022-08-31 14:46:53,浙江,有才,213,7
4808540838956599,夹子肚子疼,2022-08-31 14:46:53,北京,奇怪 你怎么可以发语音！,249,3
4808539640696281,崴崴要做喵喵咪,2022-08-31 14:46:53,山东,哈哈哈哈,370,2
4808544094519984,最后一只雅蠛碟,2022-08-31 14:46:53,河北,老巴移情别恋啦,368,0
4808551560644701,篱笆外的猫___,2022-08-31 14:46:53,山西,“白狐”！！！好久没听过这个歌了,101,0
4808546208454639,不知风起枫落,2022-08-31 14:46:53,福建,人家还是厉害,390,0
4808541456564513,王牌田中王,2022-08-31 14:46:53,上海,牛,101,0
4808541212508162,没实力就别有脾气Y,2022-08-31 14:46:53,湖南,厉害,56,0
4808541359834566,陈小fairy,2022-08-31 14:46:53,山东,大迪迪今天有点狠,148,0
4808553016068018,韓小蝦,2022-08-31 14:46:53,上海,想知道多少钱可以买,497,0
4808523983355946,重庆的吴阿姨,2022-08-31 13:19:51,重庆,不碰,23,1
4808538910361470,她会换灯泡,2022-08-31 13:19:51,广东,图片评论,510,0
4808536166501385,zhyirou,2022-08-31 13:19:51,湖南,观望,70,0
4808539879506599,幸运的小路克,2022-08-31 14:51:25,上海,再不跑，底裤都没了,13,24
4808540679572104,我爱吃鱼62951,2022-08-31 14:51:25,福建,你也不差 喊了两个月,9,16
4808542474734005,一年翻倍抓牛股,2022-08-31 14:51:25,山东,中国股市就是无脊椎动物,1201,4
4808540785216870,飘远的梦想,2022-08-31 14:51:25,福建,天天说明天会好，哪天会准,165,9
4808541128365757,LN字迹模糊,2022-08-31 14:51:25,山东,下午开盘后你洋洋洒洒的豪言壮语似乎验证了你驾驭大盘的能力，我妥妥的被你的气势所折服，又立刻马上杀进去一头大象。没成想大盘是逗傻子玩的，我的大象也变成了驴不过我不担心，你说了，换月如换刀，但愿不要卸磨杀驴。,268,12
4808540878014632,嘉金麟,2022-08-31 14:51:25,山东,被拿捏牵着走，这市场只有被收割，干不过洋葱了，哀呼被宰,780,5
4808541695381093,山青水秀890,2022-08-31 14:51:25,甘肃,为啥不让我点赞,514,2
