用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808273615655395,嘿我要一个任意门,2022-08-30 20:40:11,广东,It同事最后直接格式化了,19,4444
4808275718312387,暴躁的小呗,2022-08-30 20:40:11,浙江,为啥九十月是换工作高峰期,149,1319
4808274601839471,来斤牛肉丸,2022-08-30 20:40:11,广东,直接格式化不香吗？,120,1278
4808290200982025,予空,2022-08-30 20:40:11,山东,建议自己买个硬盘带着，很方便跑路的,1.7万,789
4808302753748474,晚意丶Vae,2022-08-30 20:40:11,江苏,没事，我们只有内网,56,622
4808307934496758,别时礼,2022-08-30 20:40:11,广东,没事 我们公司都是用自己的电脑,1510,409
4808278477112515,旧时葳蕤,2022-08-30 20:40:11,陕西,离职准备,1918,180
4808325247797627,可我才3岁,2022-08-30 20:40:11,云南,工作是工作生活是生活，私人号怎么能登录到公司电脑上呢,257,96
4808290901696650,松鼠哥Pro,2022-08-30 20:40:11,重庆,不是所有的工作岗位都要用电脑,444,68
4808303844268804,隐姓埋名633,2022-08-30 20:40:11,广东,幸好，上一次换工作，离职前就是这么干的。,123,39
4808301637800709,等等姐,2022-08-30 20:40:11,广东,为啥推给我 是知道我明天离开了吗,1429,38
4808265550267817,王木木一定要早睡,2022-08-30 20:40:11,四川,@LiuLiuLiuLiu小7 总有一天用的上,292,25
4808437500217661,睡不醒的仙女ing,2022-08-30 20:40:11,山东,先收藏离职时候用,87,14
4808301794036061,cicada_W,2022-08-30 20:40:11,浙江,巧了  明天是最后一天上班了,13,21
4808323289318990,米猫ost,2022-08-30 20:40:11,瑞典,@Leila_sang,212,1
4808306180755627,BJ丶北京青年-小白,2022-08-30 20:40:11,北京,@你梦里的女孩_,564,0
4808276329634170,桥本泳鹅,2022-08-30 20:40:11,广东,@是的我有狗了,1010,0
4808356135174489,Cai海斌,2022-08-30 20:40:11,广东,清空也可以用恢复数据的软件恢复的,24,3
4808304385856669,纽瑞不想工作了,2022-08-30 20:40:11,山西,@烦史了 公司甚至比我快给我搞了,983,3
4808463039070400,LISENINGgrowing,2022-08-30 20:40:11,山西,我看成了离婚需要删的东西，最近吃的瓜太多了,76,1
4808311394537187,洁榆_1022_,2022-08-30 23:39:35,马来西亚,如果关系挺好的 就不删吧,721,15
