用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4797706528887714,belong8with,2022-08-01 17:22:01,河南,了不起,217,217.0
4797712929917568,战神小兔323,2022-08-01 17:22:01,黑龙江,只有不相信努力，只相信运气的人，才会认为，机会自己没赶上。事实，每个时代，多么恶劣的环境，都有人逆袭成功。,1388,79.0
4797934069353161,汉唐读书会2022,2022-08-01 17:22:01,江苏,这明显就是个培训机构的广告，你信不信她接下来要卖课,60,62.0
4797714237753414,sagelake,2022-08-01 17:22:01,江西,她不是因为2020年回国探亲期间全球新冠疫情回不去失业了吗？,162,32.0
4797708391159641,无问西东_d,2022-08-01 17:22:01,北京,怎么通过托福考试的,573,17.0
4797725746663150,音乐大大人,2022-08-01 17:22:01,湖北,自考本科怎么去的美国？,79,20.0
4797710118685054,莛钟,2022-08-01 17:22:01,北京,真牛啊，高考399分，怎么做到的,1726,12.0
4797759191777397,爱吃狗肉火锅的大帅哥,2022-08-01 17:22:01,吉林,了不起,463,4.0
4798025534543710,绝顶演技,2022-08-01 17:22:01,广东,不是很相信，高考分才399的,1536,3.0
4797987233207817,樊嘉明,2022-08-01 17:22:01,广东,这条新闻怎么又上热搜了，去年貌似也上了一次热搜,174,8.0
4798055104121601,喂两位公子吃饼8,2022-08-01 17:22:01,湖北,现在真有正经培训机构吗？？？99%都是骗子,82,3.0
4797799134921981,Oyu乔Evan,2022-08-01 17:22:01,宁夏,是真的了不起！！！！祝福这位姐姐以后更加顺利！,259,4.0
4797930571825563,番茄王子啦啦啦,2022-08-01 17:22:01,青海,我哭死，资本总会给我们一点希望，让我们持续给他们努力打工,11,3.0
4797962444345997,威仔码头Anti-Fatigue,2022-08-01 17:22:01,广东,可怕的是，比你基础差的人，还比你努力，最后还成功了，站在比你高，走的比你远。,205,5.0
4798472210879610,一个好人在2018,2022-08-01 17:22:01,江西,真能瞎编,584,1.0
4798016747474883,霞霞14614,2022-08-01 17:22:01,广东,厉害👍,4,0.0
4797912989565279,火红的萨日朗SX,2022-08-01 17:22:01,山西,越来越好,114,0.0
4797829383980859,Sysoprint,2022-08-01 17:22:01,北京,牛逼,67,0.0
4805659755022937,在远方的舒克,2022-08-01 17:22:01,广东,@隐身女孩,1.4万,0.0
4799948547425856,一枚coder,2022-08-07 21:50:00,湖南,恶心价值导向,319,113.0
4799955083198944,想忘江湖,2022-08-07 21:50:00,广东,谁的尿黄，给他呲醒,1.8万,55.0
4799955615878967,闷声大发财是坠HighLevel的,2022-08-07 21:50:00,上海,糖尿病的走开，不能让他尝到一点儿甜头,5,9.0
4799950435123468,重瞳孔的少年,2022-08-07 21:50:00,河南,我不嫌她老，因为我80了,289,12.0
4799957494141353,阿宽akuan,2022-08-07 21:50:00,江苏,？？？？？？？,148.2万,1.0
4799983544700196,dwyank,2022-08-07 21:50:00,重庆,你是做什么的？  小户粉丝 一个月多少钱？  4000  有车吗？有房吗？  没有  我送你…,4.2万,5.0
4799979803380397,某某20170401,2022-08-07 21:50:00,河南,这样的视频我都看过三次了，三个女人都是在对口型,245,3.0
4799948828183182,林湃·,2022-08-07 21:50:00,广东,后面该不会就是：肘，进吴吧,1072,6.0
4799970362526992,比较状语从句,2022-08-07 21:50:00,北京,干就完了，费那事儿干嘛。,87,2.0
4800253285105970,刘献松,2022-08-07 21:50:00,北京,忍不住笑,1.3万,0.0
4799954855663114,YanYongMax,2022-08-07 21:50:00,山东,醒醒，起来搬砖了,177,2.0
