用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808218579307367,世间愁怅人-虞兮,2022-08-30 17:24:28,北京,你猜离婚率为什么下降这么多？,146,25693
4808222031219519,疾如岛风稳如po1,2022-08-30 17:24:28,广东,离婚冷静期初见成效,156,20063
4808266384933619,英倫風灰汰狼,2022-08-30 17:24:28,内蒙古,从今往后，每年都是新低！,2648,12772
4808267173466871,Brightness沅澧,2022-08-30 17:24:28,四川,请问年轻人失业率高达了19.9%，哪还有钱去结婚？,310,10801
4808267123658119,人立山雨,2022-08-30 17:24:28,山东,30岁以上结婚数到达一半这不是好事吗？说明大家受教育程度高了，成熟了，更慎重更有责任心，这比未成年结婚生子的好？,18,7204
4808268263720110,月光漫游时,2022-08-30 17:24:28,广东,寡王一路硕博,1.2万,6522
4808269682185761,爬墙中的螃蟹,2022-08-30 17:24:28,北京,下班到家都快十点了结婚不是给自己找事么,5819,3837
4808267752014094,张小炑的美好人生,2022-08-30 17:24:28,上海,离婚率不是如愿以偿的降了吗？知足点吧,130,3442
4808294395544959,正能量心情-,2022-08-30 17:24:28,天津,建议专家多结几次婚，把结婚率顶上去,2.7万,2285
4808219342669536,妍珊_SHAN彡,2022-08-30 17:24:28,广东,这话说的就像是：听君一席话，如听一席话……,868,1756
4808269111232974,Piripino,2022-08-30 17:24:28,辽宁,嗯嗯，放心今年的数据是未来几年最多的一年,92,1796
4808279706043919,paxfklsh,2022-08-30 17:24:28,河北,男人的无担当家暴算计导致女孩已经恐婚,39,1433
4808216259855423,先丿生派茵1992,2022-08-30 17:24:28,河北,什么年龄段的离婚人数最多呢？,46,1110
4808271137609003,__Arbitrary__,2022-08-30 17:24:28,山东,结婚人数下降，考研人数持续上涨 你细品,1009,950
4808272495776501,周杰伦啥时候出第16张专辑,2022-08-30 17:24:28,浙江,想结婚的就去结婚吧 想单身的就去单身吧 反正你们都会后悔的,135,640
4808233515226678,Tuk-tuk-,2022-08-30 17:24:28,云南,35-39离婚也最多,829,465
4808268583275951,月光依旧06,2022-08-30 17:24:28,辽宁,而那些35的也有可能包含二婚的,8,463
4808267421978745,曾经也想过一了百了的男子,2022-08-30 17:24:28,陕西,恭喜我吧！30了还没对象！有对象也不敢结婚结婚了也不敢生！四个父母三个娃养不起！,821,262
