用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808443754185930,橘zi味的小骨_,2022-08-30 23:22:14,河北,吃瓜不信瓜，期待赵丽颖待播剧野蛮生长和正在拍的与凤行  网页链接,979,19
4808422372149034,布茨123,2022-08-30 23:22:14,天津,有章子怡在谁还能当女主？想演女主去蹭别人OK,37,8
4808427525638047,人淡如菊姐最棒,2022-08-30 23:22:14,湖北,那就精彩了，期待小丽被国际章吊打,4,4
4808330146743293,怡怡的薏薏,2022-08-30 23:22:14,河南,大可不必大可不必不信谣不传谣，好好关注两位美女的作品吧。  网页链接,156,14
4808477492382156,喜欢努力的自己2021,2022-08-30 23:22:14,广东,吃瓜不信瓜，幸福到万家，期待颖宝的【野蛮生长】【与凤行】  网页链接,4,0
4808455204115584,乐瘦20,2022-08-30 23:22:14,广东,喜欢赵丽颖演的所有电视，非常非常讨厌翻拍剧,1146,2
4808447043045596,阿鱼不是阿雨,2022-08-30 23:22:14,江苏,吃瓜不信瓜，期待赵丽颖与凤行和野蛮生长。,2,1
4808504504223920,哎呦喂我看好你呀,2022-08-30 23:22:14,河南,改编自韩国电视剧？,0,0
4808476910162390,安迪点点滴滴_2013phone,2022-08-30 23:22:14,四川,颖和成毅合作吧,4,0
4808281811847150,奈何颖笑倾城,2022-08-30 21:42:41,内蒙古,不如一起来看《幸福到万家》,205,21
4808318234658055,小佳同学_Ying,2022-08-30 21:42:41,广东,吃瓜不信瓜，期待颖宝的《野蛮生长》《与凤行》,58,6
4808301969673355,啊啊啊啊啊啊啊啊啊自由,2022-08-30 21:42:41,北京,。。这bgm,542,0
4808281686016577,西安新鲜事,2022-08-30 21:42:41,安徽,永远支持你,16.3万,1
4808281363580607,西安聚海体育篮球俱乐部,2022-08-30 21:42:41,河北,哈哈哈,1.2万,0
4808290960151780,叹一口仙仙气,2022-08-30 21:42:41,新疆,梦一个一番🙏🙏🙏,36,2
4808283666255526,谁还不是小仙女来着啊,2022-08-30 21:42:41,北京,我只知道幸福到万家，在广东卫视二轮播出，大家走过路过不要错过！！！看幸福你也会更幸福,267,4
4808301126616266,aaaa5666266826,2022-08-30 21:42:41,北京,应该瞎传的，不可信。,3,1
4808297675228488,aaaa5666266826,2022-08-30 21:42:41,北京,一起演什么？对手、姐妹？,3,0
4808303815426422,是邓冰颖,2022-08-30 21:42:41,广东,非官方，不要说，官方不说其他都是道听途说,62,0
4808286598333586,青纱挽妆悦君,2022-08-30 21:42:41,广西,是野蛮生长要播了吗好期待！,35,1
4808281921164707,y吖_xin,2022-08-30 21:42:41,四川,太美了,322,0
4808281862701215,悬叶__b菏,2022-08-30 21:42:41,河北,666呀666哈哈,88,0
4808479237474056,大公公橘猫Mike,2022-08-31 10:46:26,上海,美啊,2.4万,0
