用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4799588483466145,浮在咖啡上的冰块,2022-08-06 21:57:19,北京,f1的主题曲！,85,321
4799589138569586,格方201703,2022-08-06 21:57:19,河南,不能偏心啊，福建省有了，台湾省也要有,31,71
4799600596879183,F1迷惑行为大赏,2022-08-06 21:57:19,上海,各位车迷朋友们大家晚上好，欢迎收看由五星体育为您带来的2022赛季F1中国🇨🇳台湾站的周日正赛直播，我是兵哥、我是飞哥、我是然哥……,8.3万,151
4799597630720911,北斗星司_,2022-08-06 21:57:19,上海,好像听到了引擎的轰鸣,237,79
4799587614722191,乐评文案,2022-08-06 21:57:19,湖北,最近几天民族自豪感迸发，立足自身岗位为国奉献,1.2万,51
4799587770176434,叶_葉耶,2022-08-06 21:57:19,江苏,bgm是F1主题曲,77,79
4799590622041379,卫视保洁师,2022-08-06 21:57:19,福建,军宣出圣人了,61.1万,28
4799587888664602,叶荐清_神州沉陆,2022-08-06 21:57:19,江西,好好保护我们的渔民,24,26
4799588084748277,l乐陶陶乐l,2022-08-06 21:57:19,上海,外孙女玩拼图拼中国地图的时候，会拿着拼图玩来玩去，掉了一块我赶紧拿给她让她拼上拼好，和她说“宝贝，这是中国地图，一块都不能少！”,135,28
4799752216511214,董煜,2022-08-06 21:57:19,北京,目前为止，玉渊谭天已有约230篇报道被全球共计769家媒体使用超10900次。,8.8万,8
4799598907100984,再生的死神,2022-08-06 21:57:19,上海,我是兵哥 我是飞哥 我是然哥,172,32
4799590341809912,老曹学到老,2022-08-06 21:57:19,广西,好好的放一段片子嘛！干嘛搞得像广告片似得？,72,4
4799589707945210,24-丹尼仔,2022-08-06 21:57:19,云南,F1主题曲,683,26
4799587502265834,那你觉得叻,2022-08-06 21:57:19,浙江,裸眼3D！！,517,15
4799599262302397,Roy-RoyRL,2022-08-06 21:57:19,广东,过分了哈，这么熟的bgm,413,18
4799590665292421,Atongmu_2114,2022-08-06 21:57:19,广东,视频做的好牛👍👍！,167,10
