用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4804486500192376,裸奔先生,2022-08-20 10:20:08,广东,我不相信这是广州，且两张图并无联系，我在广州所遇此种情况，绝大多数都有人让座,191,38
4804486756042113,real紫月亮,2022-08-20 10:20:08,陕西,特殊情况，特殊人群，还是该让的，这不是道德绑架，这是做人最根本的道德底线。,38,154
4804494938342992,冬冬你个咚咚,2022-08-20 10:20:08,北京,我觉得看到老幼残孕专座首先我们就不应该去坐，其次如果自己的确身体不舒服的情况下坐在专座上，有需求的人也没必要道德绑架让人家起来。提高素养是全社会共同的事，老幼残孕也需要有道德。,1210,53
4804492640650510,赛过指数不是梦888,2022-08-20 10:20:08,辽宁,抱着孩子一定会让座的，我相信我们这一代年青人,370,38
4804505226445078,铮仔lea,2022-08-20 10:20:08,广东,我会让，我相信很多广州人也会让。我作为一个广州妈妈，带孩子去公共交通的时候很多人都会让座，如果实在没让，也没必要道德绑架，可能别人也太累了。,681,15
4804492904630501,明心见性-不矜不伐-和光同尘,2022-08-20 10:20:08,福建,我以前在福州，公交车上如果有老幼残孕没位置，司机会及时播放语音：请给您身边需要帮助的乘客让座，听起来是善意提醒，又是间接告诉边上有座位的年轻人要让座,4,15
4804492459770331,Is-27,2022-08-20 10:20:08,广东,这情况，是不是道德绑架就不说了，不过你小伙子不让，确实不是个爷们儿！找男朋友都别找这号的。,181,6
4804504682238090,Alan-韦克,2022-08-20 10:20:08,江苏,我会让，但其他人不让也管不了。事实上，这种情况不常见，大部人还是会让的。地铁公交上的爱心专座，如果可以的话，尽量不要去坐，如果坐，万一有让座需要最好马上起身让座,405,10
4804488558549149,猫的鼻头,2022-08-20 10:20:08,云南,麻烦特殊座位人士优先让一下 感谢！,115,8
4804499107224277,BM俊杰,2022-08-20 10:20:08,四川,这种情况不让座就是不道德了，是我必让。,2,6
4804498265212995,有态度的wk,2022-08-20 10:20:08,广西,我要是那个抱小孩的，会主动去问能不能给我让个座？不给也不会损失什么，也许真的会有人让呢,6,4
4804488004898480,那场雨有毒3573kk,2022-08-20 10:20:08,内蒙古,这种情况应该让座,129,5
4804487150306420,万物皆虚空苦海最无穷,2022-08-20 10:20:08,北京,老幼病残专用座都不让说不过去了,0,3
4804492472615075,想想想想是我是我VV,2022-08-20 10:20:08,北京,这样的情况还是很少见，一般抱着小宝宝的肯定会让座的，国人还是有道德底线的。,615,3
4804489197127746,放飞沉思,2022-08-20 10:20:08,山东,只能说现在道德对某些人来说一文不值,251,5
4804488785827397,繁花落尽再绽放,2022-08-20 10:20:08,北京,只与一人抢座是道德绑架，没有一人让座是社会冷漠,75,8
4804499124258224,珍珠欲海001,2022-08-20 10:20:08,河南,若我是坐不下去。,332,2
4804499098830088,随缘_即是福,2022-08-20 10:20:08,北京,应该让！,219,1
4804495055786503,灿烂阳光的守望者,2022-08-20 10:20:08,北京,应该让座！,869,1
4804518506927304,越来越好052028,2022-08-20 10:20:08,安徽,是她自己不想坐，还是没有人让？我觉得不可能没有人让的,92,3
4788588405589232,一北_开始,2022-07-07 13:27:50,江苏,按票座位，就啥问题没有，有的司机和售票员也不讲究，就让人糊坐,451,31815
4788589127534176,luzi有點小淩亂,2022-07-07 13:27:50,福建,笑死人了大巴车没有座位号？骗人家没坐过大巴吗 既然售票有座位号为什么可以随便坐 工作人员是搞笑吧,607,22850
4788587990615036,尔康_你等一下,2022-07-07 13:27:50,浙江,那就吐他身上啊,824,18235
4788588572837294,欣欣的新,2022-07-07 13:27:50,湖南,晕车了，吐车上呗，小意思,273,12040
4788606893295568,路飞暴走,2022-07-07 13:27:50,广东,不看座位号  那你票上的座位号印上去干嘛    凡事按规矩按秩序来办才可以有理有据  买什么号就坐哪里   也不会有不必要纠纷啊,222,7876
4788616716618932,风期限在凌晨,2022-07-07 13:27:50,湖北,我们会变老 但不会变坏,335.2万,4218
4788600548361805,淡蓝湖蓝,2022-07-07 13:27:50,湖北,现在长途车不按号就坐吗？主要是别人都攻击女孩子不理解，人女孩说了晕车啊！！,2.2万,4181
4788587838573522,浮世妄想,2022-07-07 13:27:50,上海,还不是看人家一个女的好欺负，换做唐山那几个打人上来，他们让的比谁都快,276,2652
4788618855452447,十二溪,2022-07-07 13:27:50,广东,晕车的人真的怒了。我也经常遇到这种，提前买票就为了自己舒服点，结果遇到不讲理的，告诉我随便坐，结果随便坐遇到的又告诉我必须按座位，那个老的又不肯让，我没座位只能坐最后，吐得胃都要出来了。现在不肯让我就站旁边看着他们，吐也要吐他们身上！售票员和司机责任最大，明明一句话的事情,334,2399
4788595283460232,LynnDeng88,2022-07-07 13:27:50,辽宁,那就退票钱啊   那就按照违约再赔钱啊,544,1343
4788605795699401,Eileen一路桐行,2022-07-07 13:27:50,天津,中国社会已经步入老年期，并不等于是老年人的天下。,117,1024
4788621507300291,刘辉律师,2022-07-07 13:27:50,北京,说几句，司乘人员的职业素养有待提高，先买票的是错的？不讲秩序、倚老卖老是可以宽容的？我经常乘车看到乘客大声喧哗或高声打电话，可司乘人员从来不制止，是行业没有要求？还是他们可以容忍和宽容？,191.5万,329
4788599704259170,DJ小皮,2022-07-07 13:27:50,浙江,我坐过很多次上海到宁波，金华到宁波的大巴，都有座位号的啊，老人为啥不能坐后面。又不是没座位。服了,4720,335
4788620915117713,吵架不是辩论,2022-07-07 13:27:50,中国,不按座位坐就别按座位卖票呀，这样这位女士就可以提前抢排队提前抢座位，或者就不坐你的车了，这属于欺诈误导消费,169,329
4788588937743962,-小步溜-,2022-07-07 13:27:50,天津,看女的好说话呗，换个彪形大汉试试,176,418
4788588774949818,对峙绝望不流泪,2022-07-07 13:27:50,贵州,什么车？不按座位号坐？那按什么座位号卖？,3,262
4788615491880249,77阿星·iPad养乐多,2022-07-07 13:27:50,广东,站他旁边，吐他身上,289,245
4788591438594145,碧空近海,2022-07-07 13:27:50,四川,坐过好多次大巴车，都是没有座位号，先上车的就能挑到好位子。但我还是希望能按号就座。我能保证我老了也不会倚老卖老。如果年轻人让着我，我会很感激。,3,173
4788588778096311,一研dxm,2022-07-07 13:27:50,河北,客车确实没有标注座位号，买的车票上的座位号实际上是第几位买票的乘客，大家都是谁爱哪里就坐哪里，只要你先坐,102,115
4788613391586928,爱上层楼xx,2022-07-07 13:27:50,山东,道德绑架什么时候能停了 岁数大就能霸座吗 就能不遵守秩序吗,554,123
4808188333655778,苏菲大魔王,2022-08-30 15:33:51,湖南,三观这种东西从来就没有正不正这一说，和你观点一样那就是正。,134,30
4808188292239204,law1227,2022-08-30 15:33:51,广东,同意，我就喜欢缺德的你。,767,8
4808188623589958,中二病都是被宠出来的,2022-08-30 15:33:51,海南,让座这种事本质就该是让给有需要的人，如果你是特别累，那么你就是那个有需要的人,21,22
4808296583925468,瞳音嘤嘤嘤,2022-08-30 15:33:51,北京,咋说呢，我特别难受的一点就是生活中我也会用挺高的道德标准要求自己，然后看到很多远达不到这个标准的人，我就巨痛苦。,30.5万,0
4808192385618187,前进的摇光,2022-08-30 15:33:51,浙江,只要我没有道德，就没人能绑架我,172,1
4808189868513904,挪威羊,2022-08-30 15:33:51,河北,谁看不惯谁让就得了，前提是你没坐在老弱病残爱心座上,109,1
4808189666660573,野生毒物,2022-08-30 15:33:51,上海,道德水平过高影响快乐摄取,914,0
4808188354364555,致歌_,2022-08-30 15:33:51,广东,我就不是，我在线下是个圣人，线上是个色痞。,1340,0
4808188350959359,旁人丙丁路人戊,2022-08-30 15:33:51,浙江,确实,1,0
4808464369713233,我的确很无奈啊,2022-08-30 15:33:51,山东,记者问：如果你有一百亩地，你可以捐给国家吗？”农民回答：“可以！” 又问：“如果你有一百万，你愿意捐给国家吗？” “我愿意。”“如果你有一头牛，你愿意捐给国家吗？” 农民回答：“我不愿意。”记者疑惑：“为什么？”‘因为我真的有一头牛！” 因为不可能真的去做，所以网上道德感才那么高,160,0
4808459750474598,升腾的空气里没有刚学会飞翔的鸟,2022-08-30 15:33:51,新疆,键盘抢占道德高地，现实游走法律底线,38,0
4808420417602796,饿的时候不要刷美食博主,2022-08-30 15:33:51,美国,我反而觉得线上道德感可以低一点反正都是口嗨，不伤害别人就行。真实生活里还是应该道德感高一点,44,0
