用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808271460570846,gromit,2022-08-30 20:58:18,广东,真的好过分，超市本来就有冰块的,567,81
4808269933315461,小勒豆_,2022-08-30 20:58:18,四川,？？？？,1.2万,29
4808273233976457,二六六,2022-08-30 20:58:18,浙江,呃  看来喝之前洗一洗还是有必要,123,23
4808276623229913,晨曦之初照,2022-08-30 20:58:18,四川,这也太过分了吧..,3,20
4808283044450304,文昌桥上乱飚,2022-08-30 20:58:18,江西,看服装应该是华润万家,365,9
4808491736242173,希望天会亮起来,2022-08-30 20:58:18,北京,我在实名举报，请大家帮帮我！我之前差点被前男友康鹏害死，后来起诉了他，他在北京还报复我和家人一起殴打我，报警警察只是对他家罚款200块钱，犯罪成本太低，而且他家有钱有势，为他掩盖罪行，他姨夫是知名投资人谢明夷，dy账号股民老谢。我现在持续被他们威胁恐吓，不断伤害我，报警迟迟未解决。,2.8万,3
4808271078365608,累积收获nancy,2022-08-30 20:58:18,天津,过分了啊…,101,2
4808270496142177,变身的土肥圆,2022-08-30 20:58:18,安徽,明天换一家接着干,359,3
4808279073493931,偶然有空-Miss16,2022-08-30 20:58:18,广东,人品低劣！,557,5
4808313616729477,苁茈忙碌在苏州,2022-08-30 20:58:18,江苏,不光要开除，还得报警毁坏财物,146,3
4808278653279779,姑苏寒霜,2022-08-30 20:58:18,湖南,老坛酸奶,558,1
4808271292272024,Potato社长,2022-08-30 20:58:18,广东,臭脚酸奶,56,1
4808487928599212,hiker0001,2022-08-30 20:58:18,安徽,恋脚癖们大呼可惜,31,0
4808271045331679,乳饮星,2022-08-30 20:58:18,上海,没有职业道德,535,3
4808436875002727,终于等到你My,2022-08-30 20:58:18,江苏,下架销毁的视频麻烦也公布一下。,204,4
4808497399335592,欣-刃,2022-08-30 20:58:18,江苏,哎，在现场，7月底还看到导购穿鞋踩生鲜食品，当时还给前台反映了，效果没有啊,1,0
