用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808280955948249,Run要酷,2022-08-30 21:34:49,黑龙江,因为自己淋过雨，所以想把别人的伞也撕烂，大家一起雨中漫步好了,129,11025
4808281103013948,遇祉202009,2022-08-30 21:34:49,四川,为啥要相信卖假货的人的话,51,4976
4808318859875176,算徽师,2022-08-30 21:34:49,广西,辛有志，年柱癸水金水相生，时干癸水为用神的五行分布，月干己土财星透出克印，年干癸水被克制，但时干癸水傍身，对发展不太有帮助，正偏印和比劫帮身的斯运，事业会一落千丈。,96,279
4808280787918404,_荀彧,2022-08-30 21:34:49,陕西,打起来打起来,183,898
4808288850154369,耶鲁乌啼霜满天,2022-08-30 21:34:49,江西,刘是在某宝上直播的，巴子别往d音身上碰瓷了啊,89,627
4808281136565008,美剧迷官方微博,2022-08-30 21:34:49,广东,确实有卖过,1676,643
4808281002348463,沉睡的彩之死神,2022-08-30 21:34:49,上海,就应该这样，必须一视同仁,5891,665
4808280708223030,雨后初晴0708,2022-08-30 21:34:49,山东,而且别人卖的贵多了,416,251
4808281649055657,颜值高地,2022-08-30 21:34:49,山西,如果是真的，那应该一视同仁吧,1万,230
4808282235732095,cucn琳,2022-08-30 21:34:49,内蒙古,确实不应该只惩罚辛巴,65,135
4808281099606255,幸运de女神66,2022-08-30 21:34:49,天津,刘卖320，辛才卖220.同一个产品同一个厂家,30,104
4808281153604736,壶中沙,2022-08-30 21:34:49,北京,澄清什么？谁质疑谁举证就好了。不然我发微博说谁谁谁盗窃了，人家还要自证清白？,159,76
4808283159010469,JiYang伦,2022-08-30 21:34:49,辽宁,拜托 人家直播没有提到刘畊宏夫妇 只是说某音等网红.明星 什么营销号都敢写,34,43
4808281245090917,桐桐不圆,2022-08-30 21:34:49,浙江,笑死 不过我不喜欢在直播间买东西,83,36
4808303597853534,榴莲班戟-o,2022-08-30 21:34:49,广东,所以戚薇之前卖的那个假货现在没下文了？？？,145,50
4808279472211692,时光不负有薪人_,2022-08-30 21:34:49,广东,不明真相，还是不要轻易做定论了,10,26
4808293538863803,曦儿xier66,2022-08-30 21:34:49,广东,因为自己淋过雨，所以想把别人的伞也撕烂，大家一起雨中漫步好了见不得别人好，可见辛巴人品真不咋地！,117,17
4808284621770846,Allicr420,2022-08-30 21:34:49,山东,赶紧互相倒油，把你们知道的卖假货的都抖出来，看以后谁还偷偷卖假货,315,24
4808291416547238,蛾不畏殒拜红焰,2022-08-30 21:34:49,江苏,卖假货的还复出？,1.1万,11
4808279735675730,争做五四好好青年,2022-08-30 21:34:49,河南,他自己不也卖假货吗 卖假货的真的越来越多了,3,11
4808304692038474,KS岩少,2022-08-30 22:50:04,黑龙江,满满的燕窝丝,148.5万,40
4808300593418817,胖子好矮30369,2022-08-30 22:50:04,河北,斜眼快手就应该给你封脸，学学雷少,1,40
4808318193500620,黑卦统帅,2022-08-30 22:50:04,广东,岩少，吃着窝里，向着外面，你什么也不是，真的看不起你,0,22
4808300883871906,大饼传媒签约粉丝,2022-08-30 22:50:04,辽宁,哈哈！丢多大人，现多大眼！啪啪打脸！,280,36
4808303223248747,岩少谈网红,2022-08-30 22:50:04,黑龙江,支持,105.3万,6
4808304309831196,思以致胜--,2022-08-30 22:50:04,辽宁,支持,1,5
4808307463689049,和平之行,2022-08-30 22:50:04,天津,八哥，我咳嗽了，开播吧，赶紧卖燕窝丝一定报单，晶莹剔透的燕窝丝,37,7
4808302262750659,满能向日葵,2022-08-30 22:50:04,北京,还得是你，真棒,643,5
4808303391545118,兔吐籽,2022-08-30 22:50:04,广东,笑死了，证据都是他让人录屏的。,327,14
4808310765128477,懒猪1981,2022-08-30 22:50:04,河北,一个骗子出事了检举接发没出事的，吃瓜群众都淡定点。,53,5
4808309900578753,几个意思了,2022-08-30 22:50:04,辽宁,支持博主,1.1万,4
4808312887706478,看客一枚而已,2022-08-30 22:50:04,广东,辛皇万岁,14,3
4808307070206070,和平之行,2022-08-30 22:50:04,天津,八哥，一定据理力争,37,1
4808302020788346,沫沫6903066097,2022-08-30 22:50:04,天津,支持博主,6,3
4808299205099667,Jiany99,2022-08-30 22:50:04,浙江,说曝光者没有证实就曝光，他好像也没用证实就骂人家起诉人家吧？一本正经的满满燕窝丝,112,11
4808318575710798,虎斑k,2022-08-30 22:50:04,北京,顶起来,1.1万,1
4808443956040416,小蛮的糖果盒,2022-08-30 22:50:04,广东,刘畊宏可没有说满满的燕窝也没有说要告别人,1138,4
4808300790551720,阳光树5201314,2022-08-30 22:50:04,湖北,岩少真是丧良心，吃里扒外，早改永封,66,48
4808301488115368,放弃幻想准备硬磕,2022-08-30 22:50:04,新疆,必须封杀,77,7
4808302825046805,沈阳汇算首席打杂官,2022-08-30 22:50:04,辽宁,辛巴先行赔付6000万，其他人呢？其他人就不用赔了？,940,21
4808480429707599,曦儿xier66,2022-08-31 09:46:37,广东,还记得郑爽不愿意推销燕窝，被喷的体无完肤，说她是精神有问题，说她分手了是疯子，但是，所有的真相都会浮出水面，不是吗#郑爽￼￼#,117,1
4808479938969737,曦儿xier66,2022-08-31 09:46:37,广东,道貌岸然伪君子,117,0
4808471751164860,光辉岁月KS,2022-08-31 09:46:37,天津,辛巴这样介绍品牌方都在笑！,15,1
4808473135813461,谁动了我的燕窝,2022-08-31 09:46:37,浙江,性选公司 去了都得抑郁,88,1
4808471294248300,为他而来666,2022-08-31 09:46:37,浙江,辛巴糖水燕窝是巴割一辈子过不去的坎，在怎么洗也没用,6,1
4808484681679360,裁缝姐永远的梦情,2022-08-31 09:46:37,山东,果然能干倒辛巴的只有辛巴自己，上帝让谁灭亡，必先让其疯狂。,20,0
4808476410255381,吴春会客厅,2022-08-31 09:46:37,江苏,卖假货卖的挺光荣,6096,0
4808468097141059,阳光下的大聪,2022-08-31 09:46:37,河北,对，不正视自己的错误，还在狡辩。,10,1
4808464469853348,驴媽大护法,2022-08-31 09:46:37,黑龙江,巴子想赫住对方，他知道产品啥样，进货价多钱，不可能是燕窝，只是想把王海赫住，结果王海没惧，又深挖了,192,1
4808467040175235,沈昌珉结婚快乐,2022-08-31 09:46:37,山东,虚假宣传,224,0
4808476851965395,818小铁粉丝,2022-08-31 09:46:37,辽宁,选品真的不够严谨，做事也毛毛躁躁，也不想想人家为啥说全是糖水？连配料表，营养成分表也不看就回怼？哪怕拿检测机构测测啊。哎,0,0
4808466730324611,快乐的小不点123,2022-08-31 09:46:37,天津,卖假货还不承认啊是吧，非得道德绑架,10,0
4808465572429833,二马户他爹,2022-08-31 09:46:37,广西,开始死不承认,64,0
4808484892184565,Tina田翠n_4,2022-08-31 09:46:37,山东,道貌岸然，血都是黑的，心能好哪里去,17,0
4808468537803537,文刂冫东,2022-08-31 09:46:37,河南,都是看热闹。别把你要饭的碗给砸了。,0,0
4808464038106821,仙羊野爹,2022-08-31 09:46:37,新疆,五十步笑百步,3,0
4808466645914338,junyiliu0,2022-08-31 09:46:37,北京,性选必死,5,0
4808483838624102,风不评,2022-08-31 10:48:02,浙江,看完，的确对辛巴不公平,3.7万,2
4808478839544994,整天不知道干什么的人,2022-08-31 10:48:02,广东,人红是非多,931,0
4808465501652586,追剧二大爷,2022-08-31 09:51:17,北京,确实 以前有带货翻车 以后也有 法律规定该怎么罚就怎么罚 但不要动不动就站在道德制高点 什么封杀 什么退圈 毕竟敲键盘不犯法,10.2万,5
4808465921344496,明星大片集,2022-08-31 09:51:17,北京,阿汤哥说的没毛病 电商直播到货才兴起没多久 法律法规不健全 这个是关键 不能有漏洞和钻空子 ,113,3
4808475911914786,亚当白日梦先生,2022-08-31 09:51:17,浙江,换句话说，主播直播间卖的是真东西。但是商家发货的时候可能会以次充好。而且发货的时候主播也没办法去监管。这点也比较无奈。,1,1
4808465011447239,X的宝贝文儿,2022-08-31 09:51:17,黑龙江,现在好多明星都去带货了，如果不是为爱发电的话应该也没有多少人会买吧,16,2
4808464792028062,11stayu,2022-08-31 09:51:17,湖北,真的无语住了，意思就是说为啥只有自己被查了呗，但你卖假货是事实啊,257,11
4808464826895153,Miguoda,2022-08-31 09:51:17,河南,这件事还是挺复杂的，只能说事情结果水落石出前还不要下定论，观望后续发展吧,14,9
4808464855204800,我拨通妈妈的号码告诉她我在变好,2022-08-31 09:51:17,浙江,我还是默默吃瓜吧，不太懂啊，没看过他们的直播，也没买过,4,6
4808464976843085,吃吃吃一口再说,2022-08-31 09:51:17,河南,这也是什么捶啊就无故被爆，莫名有点…还是看当事人怎么说吧,129,6
4808465048666365,红妮航航,2022-08-31 09:51:17,黑龙江,这样的事情真的很无语嗯啊作为消费者我们是最无辜的啊期待诚信做事,46,7
4808465626696610,新街有肉宝1969,2022-08-31 09:51:17,辽宁,真的是很无语啊，这样的事情，我还是默默的吃瓜吧，还是看当事人怎么说吧？,7,1
4808465253664462,四条小鱼儿,2022-08-31 09:51:17,山东,确实很无语啊，真的是不知道该说些什么。还是默默的关注着吧。,19,1
4808464956132046,北向贸,2022-08-31 09:51:17,黑龙江,这又是什么瓜呀咱也搞不懂状况不明真相，不予置评，还是默默吃瓜吧,1,3
4808464955608837,汪青林小仙女,2022-08-31 09:51:17,四川,"这种事我只能默默吃瓜了毕竟我也不知道谁说的才是真话,相信法律自有判断",5,4
4808481103679740,凉西塍,2022-08-31 10:55:25,河南,这个倒是真卖过，没冤枉他。。。。,426,3
4808481095552574,·_菜菜喳喳_·,2022-08-31 10:55:25,湖北,肯定带货啊，不然怎么赚钱,1.4万,4
4808482002047520,小憨憨开心呀,2022-08-31 10:55:25,江苏,没看过,1.1万,1
4808480550030331,Itzak199407,2022-08-31 10:55:25,广东,那只是你没看见,0,2
4808481833749763,柠小柠的柠,2022-08-31 10:55:25,浙江,有带货的,420,2
4808482497497556,阿鸭鸭y,2022-08-31 10:55:25,广东,都实名举报了，应该不会有假,0,0
4808485752279323,浅夏初晴zzh,2022-08-31 10:55:25,广东,好乱啊，,519,0
4808477065350598,琴瑟iu,2022-08-31 10:29:42,江西,这才是正常人,27,0
4808483831284564,MrLin5894,2022-08-31 10:33:18,广东,开始不承认，骂媒体，现在评论咋一些人说主动承担责任男人敢作敢当，是不是在过段时间就变英雄了,6,1
4808476482078434,a846591372,2022-08-31 10:33:18,广西,姓李的卖阳澄湖大闸蟹是假货不是早曝光了？跑来人家打假的热搜蹭什么蹭？618预售卖毒牛奶、钟薛高、二手苹果手机连连翻车也没有赔偿给家人,17,0
4808466827581085,逢下棋,2022-08-31 10:00:23,河南,这么怕爆料呀，互相爆料市场怎么会乱套，反而会清除不良，越来越好,19,1
4808466860869788,呢202003,2022-08-31 10:00:23,四川,互掐吗,530,0
4808452365619160,椰奶芒芒甘露,2022-08-31 09:02:25,山东,当年zs被说的时候，辛巴巴他们可也是在哭哭🥹卖惨。这次换了个新的方式吗,4,1
4808453165419601,此号已废123765,2022-08-31 09:02:25,浙江,哭了 不是昨天就有的热搜吗 辛巴这个不是今天才有的热搜吗,162,0
4808455879919746,山佳居士,2022-08-31 09:02:25,河北,哭了？,1.2万,1
4808467572856825,他对015,2022-08-31 09:02:25,四川,拜托刘畊宏哭了是因为带大家直播健身感动才哭的,0,0
4808455728140024,不想熬夜的小谷,2022-08-31 09:02:25,河南,真热闹啊！有没有一个是真的,6,0
4808460304126034,燃丶子辛,2022-08-31 09:02:25,山西,还是默默的关注这件事情吧！,227,0
4808460342400044,紫怡syx,2022-08-31 09:02:25,黑龙江,期待后续报道,1万,0
4808460006330639,夏有凉风冬有雪欧,2022-08-31 09:02:25,辽宁,默默的吃瓜，会一直关注的,374,0
4808456508277531,银杏道路人,2022-08-31 09:02:25,山西,这是怎么回事儿呀？期待后期报道呀。,68,0
4808456483373615,洗洗澡吧太脏了,2022-08-31 09:02:25,山西,这是怎么回事儿呀？期待后期报道呀。,144,0
4808456417052843,蔡季庭,2022-08-31 09:02:25,山西,持续关注中，期待后期报道。,4,0
4808456408925731,Jockee李,2022-08-31 09:02:25,山西,持续关注中，期待后期报道。,9,0
4808456240103754,水火水货非睡货,2022-08-31 09:02:25,山西,还是默默关注吧。,50,1
4808456080984864,冷月6610,2022-08-31 09:02:25,山西,期待后期报道。还是默默吃瓜吧。,12,0
4808456030918602,此刻我遇见你,2022-08-31 09:02:25,山西,一定会持续关注下去了。,34,0
4808483066612935,身心空落,2022-08-31 09:53:42,广东,姐妹，卖假货和带大家运动是两件事，放你看到一颗老鼠的时候已经🈶️一堆老鼠屎了,1,0
4808288165954598,佚依依,2022-08-30 22:04:50,江西,我不喜欢辛巴，但他能折腾到这样还是挺牛逼的，包括一哥一姐这种垄断的也很讨厌，要求品牌的价格不可以低于直播间。,19,1058
4808298426269727,得桃易,2022-08-30 22:04:50,河南,自从辛巴当时捐款几个亿以后，我对他特别好感，虽然一次也没买过 就觉得不管出于何种原因吧，能捐出去这么多，就特别有担当，有社会责任感当时爆出来假燕窝事件，还挺惋惜的   我就发了个，被限流了,93,242
4808296017696789,流年不似水呀,2022-08-30 22:04:50,陕西,辛巴是找痘印平台算账，因为行业竞争他被当了出头鸟，差点成了牺牲品,13,541
4808295288409263,蒸鱼传媒,2022-08-30 22:04:50,福建,哈哈，辛巴完了？前几天还卖20个亿,2,173
