用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808066405762806,一挽解清愁,2022-08-30 07:28:58,江苏,我们中国人思想、性格有很多弱点，但在我们中国人身上，有其他任何民族都没有的、难以言喻的东西，那就是温良。  温良不是温顺，更不是懦弱，温良是一种力量 ，是一种同情，和人类智慧的力量，我们中国人之所以有同情的力量，是因为我们完完全全、彻彻底底地生活在一种心灵的生活里。,11.4万,730
4808067525116763,麦子斯基,2022-08-30 07:28:58,上海,美国有好莱坞宣传，我们也应该用电影的方式记录和传播重庆人民英雄般的救火事迹，说好我们的故事！,489,255
4808066610760355,可可西里cmr,2022-08-30 07:28:58,河北,感谢重庆人中的她们,1.6万,185
4808069261295880,为了明天的后天的后天,2022-08-30 07:28:58,四川,你们辛苦了,162,112
4808066476018990,瞭望太空,2022-08-30 07:28:58,安徽,平凡英雄，让人感动！,1.5万,90
4808066720072041,pantly家的jason,2022-08-30 07:28:58,山东,你们是最让人敬佩的  英雄们。你是人民的骄傲。,5846,40
4808076597923814,比丘卡还是卡比丘,2022-08-30 07:28:58,广东,我记得还有个15岁左右少年，真的太让人感动了,103,40
4808120667472917,吾芳啸野,2022-08-30 07:28:58,山东,致敬平民英雄！,21,30
4808094851269534,广西消防,2022-08-30 07:28:58,,因为我们都有一个共同的名字——中国人🇨🇳,140.7万,20
4808066446394764,万俟倾心次次,2022-08-30 07:28:58,广西,谢谢你们,1.1万,17
4808070172249287,龏奭嚻艸,2022-08-30 07:28:58,河北,你们都是中国🇨🇳的好儿女,1576,17
4808076940810092,中正继伟,2022-08-30 07:28:58,云南,在中国，永远可以相信人民是坚强的后盾！,1451,10
4808066417821536,折太太梧弑,2022-08-30 07:28:58,陕西,最可爱的你一路前行！,1868,13
4808068058318081,嘹亮的起床号,2022-08-30 07:28:58,西藏,平凡而伟大，致敬英雄,21.3万,13
4808066590051540,林以恒宝贝,2022-08-30 07:28:58,广东,致敬英雄,175,10
4808079793982922,举个小于,2022-08-30 07:28:58,山东,辛苦了，致敬！！,205,7
4808078829028955,D沫沫北辰C,2022-08-30 07:28:58,浙江,感谢每一位英雄,174,5
4808066555445331,非雨曉鶴,2022-08-30 07:28:58,河北,致敬英雄。,55.4万,5
4808071581270222,Lanyuuu,2022-08-30 07:28:58,法国,致敬每一位英雄,482,5
4808082679664723,微博视频,2022-08-30 07:28:58,,您好，恭喜您的视频荣登视频飙升榜，社会领域第2名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》网页链接,1511.2万,0
4807125358872370,虎皮卷卷GG,2022-08-27 16:30:02,浙江,今天突然顿悟了“愚公移山”这个故事的意义。好长的时间里，不管怎么跟孩子解读愚公移山，但是心里是暗搓搓嘲笑愚公的。与其去搬山，为什么不直接搬家呢？看了这些故事，明白了子子孙孙无穷尽能搬动山，重庆倾城出动能灭滔天大火。中国人基因里的家园情怀，在保护家园面前展示出来的团结是无敌的。,672,511
4807116642059652,林以恒宝贝,2022-08-27 16:30:02,广东,为可爱的小志愿者点赞！,175,314
4807115786948295,猫在广元,2022-08-27 16:30:02,四川,哇，很好的教育方式。小男生很可爱。,69,169
4807133826650409,多少价钱小爷都不让,2022-08-27 16:30:02,四川,小朋友太棒了！！一定是个顶天立地的男子汉！！,165,91
4807117564809989,花斤,2022-08-27 16:30:02,广东,言传身教,292,56
4807133515749223,蒲照東,2022-08-27 16:30:02,辽宁,前天隔壁小区着火，来了十来台消防车历时五六个小时灭火，走的时候不到三岁的大宝跑到路边向即将收队的消防员战士敬礼，说再见。,322,34
4807118866089698,蓝色小鱼1261,2022-08-27 16:30:02,河南,点赞，小小志愿者，棒棒哒,1.2万,27
4807118747861108,宅人景文,2022-08-27 16:30:02,广东,家长和孩子真棒[贊],175,23
4807178324279326,kitpinglo2022,2022-08-27 16:30:02,中国香港,致敬中國同胞！[贊][贊][贊]以身為中國人為傲,16,17
4807144135723330,好运59,2022-08-27 16:30:02,四川,这是我中华好男儿,146,6
4807204400011016,紫朦馨香,2022-08-27 16:30:02,湖北,家长和孩子真棒,250,3
4807155235163632,内容可能引起不适,2022-08-27 16:30:02,福建,少年强则国强！,630,5
4807211056103599,南陌芷蕾,2022-08-27 16:30:02,江苏,👍🏻,3,1
4807181196858108,淨墨燕子,2022-08-27 16:30:02,中国香港,👍👍👍👍👍👍,38,1
4807172637331841,功能强大的二双,2022-08-27 16:30:02,上海,弘扬中华正能量,2,1
4807153631629954,回归美好本质,2022-08-27 16:30:02,辽宁,小小真可爱,3,0
4807148679205945,静爷FJY,2022-08-27 16:30:02,广东,真好,139,0
4807139761063311,静影沉璧886,2022-08-27 16:30:02,云南,好父母，好孩子。,6,3
4807939162899706,人民网,2022-08-29 14:20:20,,#民民夜话#【大家辛苦了】@宿舍里的大人玩具：此声名为：凯旋//@cindyniuniu妞：都是辛苦奋斗的见证，辛苦了！ //@LionelMessi-李：为人民群众点赞 //@最愉快的消磨X：这么多天了，还是很感动，感谢有你们 //@ElZOE86l：我一直好喜欢重庆啊，这也是很大的原因,8313.1万,33
4807880815935925,tss886,2022-08-29 14:20:20,重庆,感动中国2022山城重庆,400,197
4807882233352433,最愉快的消磨X,2022-08-29 14:20:20,重庆,这么多天了，还是很感动，感谢有你们,3,89
4807875095170922,与陌语,2022-08-29 14:20:20,四川,这才是中国人,6,57
4807869260631085,凯凯的妈妈粉,2022-08-29 14:20:20,天津,这就是中国力量,68,47
4807873283232025,种花家第N只小兔子,2022-08-29 14:20:20,江苏,最好听的声音,27,32
4807915506763181,凌峰9904,2022-08-29 14:20:20,河南,明年种树要摇号啦！,27,19
4807905746093860,ElZOE86l,2022-08-29 14:20:20,四川,我一直好喜欢重庆啊，这也是很大的原因,6,19
4807888001042556,LionelMessi-李,2022-08-29 14:20:20,河南,为人民群众点赞,823,17
4807894081998144,与卿深,2022-08-29 14:20:20,江苏,好动听的声音！好格力的重庆人民,127,11
4807887673098789,妄想症121,2022-08-29 14:20:20,北京,不容易,248,7
4807892744541951,既然选择就要相信,2022-08-29 14:20:20,重庆,谢谢你们,408,6
4807895471101262,与卿深,2022-08-29 14:20:20,江苏,好动听的声音,127,7
4807911559923017,雨典不是雨点,2022-08-29 14:20:20,湖北,辛苦了,0,6
4807889783099701,明月清风一壶酒,2022-08-29 14:20:20,江苏,大赞,44,3
4807888322693717,莲海觅珍,2022-08-29 14:20:20,河北,辛苦了,86,3
4808338410308010,哈囉汀汀,2022-08-31 01:19:07,美国,谢谢你，火锅侠,143,4047
4808459722425131,眼袋小姐姐_,2022-08-31 01:19:07,陕西,火锅底料哪家好吃呀🙏,199,450
4808468555631386,复合型大力丸,2022-08-31 01:19:07,重庆,作为生活在重庆十几年的外地人。推荐一家，大坪陈眼镜,513,460
4808459704340343,正经星人最正经丶,2022-08-31 01:19:07,宁夏,外地人，去了三天，吃了两天防空洞火锅，好好吃不要杠我，我没见识，他就是好好吃…………,187,330
4808483939811926,Leo的一切,2022-08-31 01:19:07,重庆,建议你啊少给建议，每个人口味都不一样。罗列的一些火锅店，并不好吃。你代表不了重庆人的口味。,80,32
4808453178524372,Veronica404,2022-08-31 01:19:07,澳大利亚,我觉得江二娃也挺不错的，反正那种老破小的，一到晚上一帮子本地人光膀子在外面吃的火锅店都不差,1870,179
4808473139218635,千夜201210,2022-08-31 01:19:07,安徽,重庆小面有没有推荐的呀[嘿哈],48,18
4808470992260395,吧唧一笑是真的,2022-08-31 01:19:07,江苏,17年毕业旅行，看网上推荐吃佩姐火锅，我的妈呀，下午四点取号，凌晨一点半才吃到嘴。。都快睡着了。。不说难吃吧，筷子不是一次性的，有点脏，而且口味很一般！！还不如民宿楼下随便挑的一家。。,406,24
4808467183306646,九漏之鱼,2022-08-31 01:19:07,江苏,瓜兮兮,39,7
4808467104139857,猪猪猪猪猪猪啵,2022-08-31 01:19:07,广东,我自己认为，外地人如果去了重庆实在不知道吃哪儿，就去吃朱光玉卤校长和楠火锅，这仨虽然也是网红火锅，但至少让你排了很长队也会觉得不亏,38,60
4808487379142890,桃猫贰,2022-08-31 01:19:07,河北,楠火锅也推荐吗真的是我吃过最难吃的红锅,568,20
4808469851145174,我想养一只小熊,2022-08-31 01:19:07,浙江,卤校长和楠火锅我们这边也有分店，口味会不一样点吗,523,6
4808476586676851,huoshinalaidelamei,2022-08-31 01:19:07,吉林,抱拳了火锅侠不过有没有不是太辣的 适合我这种微辣口味的东北人的啊感谢,334,6
4808480025740668,抱着仙女骑着马,2022-08-31 01:19:07,重庆,卤校长也很难吃，起码观音桥那家是这样,3,12
4808468063591359,小溪陳,2022-08-31 01:19:07,河北,列的选择太多又不知道选哪家了,1984,7
4808487844974650,清箫绮梦,2022-08-31 01:19:07,广东,好像很少看这种重庆火锅盘点提到巴倒烫？可我永远是巴倒烫最忠实的信徒（虽然现在住广东，但因为家人工作原因，前几年每年会在重庆住一段时间）,8,7
4808481666761717,快了快乐ANAIA,2022-08-31 01:19:07,重庆,作为本地人都还没有吃遍这些火锅店，给大家分享一个吃火锅不容易拉肚子的小窍门，吃火锅配酸奶或吃完后喝瓶酸奶，肚子会好受很多,1159,6
4808480751618264,一点刀圭,2022-08-31 01:19:07,浙江,据说重庆红油锅底不掏钱啊，鸳鸯才要钱,174,0
4808487043597425,林小瓜的时线,2022-08-31 01:19:07,江苏,重庆生活了好几年，都是随便找不是连锁品牌的火锅店吃的，都很好吃而且一个宿舍6个人每次吃撑都只花了200多你敢信？（ps:海底捞好难吃）,142,3
4808483767059980,没有秘密就是不想让人看到略,2022-08-31 01:19:07,四川,大龙是叫 大龙火锅 还是大龙传承呀,124,0
4808493393777566,菲姐春风吹又生,2022-08-31 10:40:59,北京,今天的极度反常识，就是上面想要的样子。没想明白有什么好处。,2172,5
4808510560275048,青青草原的我,2022-08-31 10:40:59,陕西,谁在反智，还看不出来吗,5,1
4808508590262790,潇湘不棉哥,2022-08-31 10:40:59,上海,一个社会有那么些反智反常识的人不奇怪，而奇怪的是，反智反常识的人被封为楷模，引导全民反智反常识，是当今社会最魔幻的事实，没有之一。,19,0
4808483851993983,maskzzh,2022-08-31 10:40:59,湖南,没办法，开过光,0,1
4808512222008570,多看少说20223,2022-08-31 10:40:59,江苏,这类人眼下还真不少，就跟豆奶等魑魅魍魉都能登堂入室一样……,1,0
4808517581539251,id20121212,2022-08-31 10:40:59,重庆,错了，川建国那才是操弄民粹；东方权贵是操弄夜壶,5,0
4808502940013525,大锅饭养懒汉,2022-08-31 10:40:59,河南,一群大骗子，群魔乱舞,32,1
4808167101566797,微博时事,2022-08-30 13:07:12,北京,@庄胜春 ：#重庆砍树救火志愿者相约植树# 重庆山火“非典型故事”完整版。,209.5万,0
4808157248885390,藤藤菜_2011,2022-08-30 13:07:12,四川,庄记者采访了这么多好人好医生好企业家好官员，什么时候能碰碰民生揭揭不法,356,1
4808160685067597,威廉姆不母,2022-08-30 13:07:12,广东,真棒。,515,0
4808513690537710,一笑锥风,2022-08-30 13:07:12,广东,团结就是力量👍,33,0
4808219555791155,Awakening_who,2022-08-30 13:07:12,美国,你们是失散多年的兄弟吗,306,0
4808475479116004,棋如人生WYF,2022-08-31 08:40:42,福建,为女孩的用心点赞！,9,0
4808475093240287,梦想成真1A,2022-08-31 08:40:42,福建,被逆行者们的英勇感动,3,0
4808451886682723,别摸我的奶黄肉,2022-08-31 08:40:42,江西,为女孩的用心点赞！,0,0
4808449672089537,奶茶奶茶果茶,2022-08-31 08:40:42,江西,转发微博,0,0
4808456374323785,莆田市精神康复诊疗中心朴主任,2022-08-31 08:40:42,福建,被逆行者们的英勇感动,3,0
4808514217968606,京晶am774,2022-08-31 13:07:12,北京,罕见高温炙烤川渝，重庆突发山火，一夜间来自各行业救援力量自发集结，以惊人奋勇之力十日扑灭各线明火，奇迹般打赢了山火之战，救火逆行者和无畏又可爱的山城人民展现了中国人无比团结的意志精神，其中也涌现出外国友人身骑摩托孤勇灭火的好人好事，爱心不分国界，被这些挚诚坚韧的人们感动。,21.4万,0
4808514217968606,京晶am774,2022-08-31 13:07:12,北京,罕见高温炙烤川渝，重庆突发山火，一夜间来自各行业救援力量自发集结，以惊人奋勇之力十日扑灭各线明火，奇迹般打赢了山火之战，救火逆行者和无畏又可爱的山城人民展现了中国人无比团结的意志精神，其中也涌现出外国友人身骑摩托孤勇灭火的好人好事，爱心不分国界，被这些挚诚坚韧的人们感动。,21.4万,0
4807917251860160,放下重新开始A宝,2022-08-29 21:21:00,山东,致敬英雄！最可爱的人,2199,125
4807916878823550,葬爱家族第19届继承人,2022-08-29 21:21:00,四川,致敬所有的逆行英雄啊！！！,684,93
4807917603656016,乐观自信so,2022-08-29 21:21:00,四川,我们向英雄致敬,5403,42
4807917163777916,雨做的云为6,2022-08-29 21:21:00,浙江,人民的英雄好汉棒棒哒 致敬最可爱的人,1524,175
4807917590549155,蔡怡依123,2022-08-29 21:21:00,甘肃,向守护山城的英雄致敬,157,16
4808004002382020,满鑫欢禧,2022-08-29 21:21:00,上海,今天去油管看了，外媒几乎都集体闭嘴，报道重庆山火的基本都只是国内媒体,696,81
4807948813732414,理家想驹,2022-08-29 21:21:00,山西,这就是我眼含热泪热爱的中国,313,42
4807937472599534,身不由己书兰贩,2022-08-29 21:21:00,山东,重庆娃儿们的精神确实够震撼，中国新青年的骄傲,512,17
4808199938773239,黔西南w布依人,2022-08-29 21:21:00,贵州,同样是直辖市为什么重庆人这么团结，而上海呢,337,8
4807954932436230,花园里有佩7,2022-08-29 21:21:00,天津,//@理家想驹:这就是我眼含热泪热爱的中国,205,14
4807936536752552,心景_,2022-08-29 21:21:00,云南,重庆精神中国人最美的注脚,6,13
4808147511021390,铃兰燕,2022-08-29 21:21:00,河北,这个真的可以拍成电影，把中国精神传扬出去,13,10
4807936762714264,淡漠问旋杏,2022-08-29 21:21:00,山东,致敬英雄们,596,1
4808147736199484,铃兰燕,2022-08-29 21:21:00,河北,这一刻，人民不再向往英雄，因为人人都在成为英雄。,13,6
4808135506921337,这是何物种,2022-08-29 21:21:00,广东,我们的超级英雄在有危险的时候出现，而有些国家的超级英雄和凹凸曼只是在出现的时候发生危险,30,9
4807967351768847,路曉青,2022-08-29 21:21:00,福建,这是最大的善！🙏致敬！,348,11
4808165365908351,·棠樾,2022-08-29 21:21:00,四川,评论确实很真实,894,2
4808118078800981,辛星熠,2022-08-29 21:21:00,北京,那些恨国人士怎么看,107,6
4807934116630367,橙色周小猫,2022-08-29 21:21:00,山东,致敬,885,5
4807917225641862,不失人间烟火j,2022-08-29 21:21:00,山东,向他们致敬呀,346,4
4808160126177840,2022的娜年夏天,2022-08-30 12:47:31,重庆,多吃点多吃点,916,14
4808228522692211,宝贝哆啦麻,2022-08-30 12:47:31,云南,云南森林消防凶的p爆，重庆的火锅香的p爆,466,17
4808257762234152,彼岸红尘530,2022-08-30 12:47:31,重庆,幸亏你们跑得快，不然火锅管够,0,8
4808270000689263,各自misha,2022-08-30 12:47:31,重庆,哈哈哈哈，听到“香得P爆”感觉好亲切,106,8
4808265022313009,熊猫幽灵猪_耶,2022-08-30 12:47:31,重庆,巴适得板,1257,5
4808233489535620,井妈很爱国,2022-08-30 12:47:31,广西,你们吃得香，我们看着就开心😁,251,11
4808293351168249,星月很浪漫,2022-08-30 12:47:31,江苏,哈哈哈，我下次也去重庆,1083,1
4808257073842345,落凡_Lynn,2022-08-30 12:47:31,广东,看着就开心！,3105,3
4808208135230904,尘尘71,2022-08-30 12:47:31,江西,好吃你就多吃点,29,2
4808193433932058,进阶wjy,2022-08-30 12:47:31,广西,哈哈，多吃点,211,3
4808274857957858,淺淺恴愢唸,2022-08-30 12:47:31,安徽,多吃点儿,257,1
4808273842670584,庄周梦_蝶,2022-08-30 12:47:31,辽宁,安排上了,499,7
4808256624529788,尼尔森的开心日,2022-08-30 12:47:31,重庆,有空多来耍,93,2
4808235041692227,雪无白,2022-08-30 12:47:31,广东,全员平安才是最大的好,83,10
4808225100665586,听靴落地,2022-08-30 12:47:31,四川,好吃就多吃点。,373,4
4808224077513063,喝拿铁的Tiffany,2022-08-30 12:47:31,重庆,比心❤❤❤,58,2
4808179815288648,别提溜俺,2022-08-30 12:47:31,云南,欢迎英雄回家，多吃点，吃大的！,77,3
4808276938851867,Seven好丧Ys77,2022-08-30 12:47:31,广东,吃多一点，不用客气,658,3
4808489656126394,Ehtele,2022-08-31 11:31:17,重庆,你码什么呀！直接找我就行了啊！三陪到底！！,3.3万,9
4808492516644586,瓜瓜幼稚园园掌,2022-08-31 11:31:17,浙江,“不会做攻略找居民区火锅…………居民区火锅现在很多都是特意开来割韭菜的了！”没太看懂，到底要不要吃居民区的？,362,0
4808499445893255,太橘大仙,2022-08-31 11:31:17,重庆,个人觉得楠火锅不好吃真的要看每个人的口味,636,0
4808490898423829,加油长大吧,2022-08-31 11:31:17,山东,毛哥酸萝卜老鸭汤，真的好好喝,147,0
4808506844645531,ARIAN咻咻咻RINCO1111,2022-08-31 11:31:17,江苏,去之前做攻略，被安利了卤校长，排了三四个小时才上位，味道一般，我姐妹都觉得难吃,197,0
4808502901998367,白袖袖,2022-08-31 11:31:17,甘肃,马住//@无边桃炎:马住//@沐非://@欧美二线品牌://@哈囉汀汀:谢谢你，火锅侠,116,0
4808501032125332,gulipai,2022-08-31 11:31:17,甘肃,曾老幺洞子鱼也不错//@无边桃炎:马住//@沐非://@欧美二线品牌://@哈囉汀汀:谢谢你，火锅侠,540,0
4808493406359801,香菜全球推广大使,2022-08-31 11:31:17,河南,不知道本地人评价如何，我跟我同学不晓得去哪里吃或者朋友来玩请朋友吃饭，就去渝大狮，价格份量性价比不错，也不会翻车。,181,0
4808492999251163,Repurpledeep,2022-08-31 11:31:17,重庆,装修好一点的锅底收费，之前几年红汤锅底不收费啊，只有鸳鸯要收……（当然前几年）,288,0
