页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
1,4790424474227813,南方周末,2022-07-12 15:07:39,【#被网暴的新冠患者改名换姓#】江苏淮安，三位三十多岁的女性在2020年初新冠疫情暴发之初确诊。她们的症状都不算严重，让她们难以承受的，是互联网上四处传播的谣言。更巧合的是，三人被传谣的情节十分相似：出轨，去武汉会了情人，这才被传染。她们都被转入当地的新冠肺炎定点医院治疗。淮安市第三人 ...全文,https://m.weibo.cn/detail/4790424474227813,25,19,125
1,4797258845919366,封面新闻,2022-07-31 11:45:00,【假的！这些关于成都疫情的谣言别信！】连日来，成都新冠肺炎疫情牵动着千家万户的心。疫情当前，流言蔓延，谣言猖獗，四川互联网联合辟谣平台提醒广大市民朋友，以下关于成都疫情的谣言千万别信！详戳↓↓流言粉碎机｜这些关于成都疫情的谣言别信！ ,https://m.weibo.cn/detail/4797258845919366,8,23,49
1,4799853643697105,均妈的窝,2022-08-07 15:35:48,镜头贩卖商——余心妍现居美国华盛顿的汉奸记者余心妍长期炮制《对抗芬太尼：中国产类鸦片加深美国健康危机》、《我的父母怎么了维吾尔姐妹寻求答案》等不实报道攻击中国，使用境外个人社交账号频繁发布各类涉及新冠疫情、新疆问题等谣言抹黑中国。一个驾轻就熟地炮制各种谎言的记者。利用她手中的镜 ...全文,https://m.weibo.cn/detail/4799853643697105,0,0,0
1,4799749804266260,淮安洪福,2022-08-07 08:43:11,#淮安人淮安事[超话]##关注新冠肺炎# 【辟谣，网传“金科一城一家三口未做核酸感染新冠”系谣言！】今（5）日，一则“金科一城一家三口未做核酸感染新冠”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。      据“健康成都官微”通报，8月4日0-24时新增本土确诊病例1例，居住于成华 ...全文,https://m.weibo.cn/detail/4799749804266260,0,0,0
1,4799111351764153,四川长安网,2022-08-05 14:26:11,#蜀安君播报# 【成都市成华区辟谣】据成都市“成华发布”官方微博消息：今日，一则“金科一城一家三口未做核酸感染新冠”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。（成华发布） ,https://m.weibo.cn/detail/4799111351764153,1,17,16
1,4799073485586878,成都发布,2022-08-05 11:55:44,【辟谣，网传“金科一城一家三口未做核酸感染新冠”系谣言！】 #小布播报#今（5）日，一则“金科一城一家三口未做核酸感染新冠”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。据“健康成都官微”通报，8月4日0-24时新增本土确诊病例1例，居住于成华区金科一城小区，系病例201的密 ...全文,https://m.weibo.cn/detail/4799073485586878,22,53,107
1,4799115164915179,成都头条,2022-08-05 14:41:21,传的金科一家三口没做核酸遭了是谣言！今（5）日，一则“金科一城一家三口未做核酸感染新冠”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。来源:@成都发布 #成都疫情防控##成都疫情# 成都 ,https://m.weibo.cn/detail/4799115164915179,0,11,19
1,4799149302355428,金牛服务,2022-08-05 16:57:00,【辟谣，网传“金科一城一家三口未做核酸感染新冠”系谣言！】今（5）日，一则“金科一城一家三口未做核酸感染新冠”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。据“健康成都官微”通报，8月4日0-24时新增本土确诊病例1例，居住于成华区金科一城小区，系病例201的密切接触者。 ...全文,https://m.weibo.cn/detail/4799149302355428,0,2,2
1,4799147620960815,CDTV-3热线188,2022-08-05 16:50:19,【#辟谣#  网传“金科一城一家三口未做核酸感染新冠”系谣言！】 今（5）日，一则“金科一城一家三口未做核酸感染新冠”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。据“健康成都官微”通报，8月4日0-24时新增本土确诊病例1例，居住于成华区金科一城小区，系病例201的密切接触者 ...全文,https://m.weibo.cn/detail/4799147620960815,0,0,0
1,4799080050459955,成都小直,2022-08-05 12:21:49,辟谣！网传“金科一城一家三口未做核酸感染新冠”系谣言！#成都疫情# 成都 ,https://m.weibo.cn/detail/4799080050459955,2,10,22
