页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
1,4801573597218464,新华社,2022-08-12 09:30:17,【感受乡村体育的火热：#贵州村BA现场气氛有多热烈#】近日，贵州台江台盘村的乡村篮球赛走红网络。篮球赛是村里每年六月六“吃新节”的传统活动，由于场地在农村、比赛由村民组织、参赛者以村民为主，网友亲切地称之为“村BA”。赛事氛围浓厚，甚至#村BA现场观众拿洗菜盆庆祝进球#。解说员不断切换普通 ...全文,https://m.weibo.cn/detail/4801573597218464,41,56,329
1,4801603792802945,人民网,2022-08-12 11:30:16,【#姚明回应贵州村BA篮球赛邀请#：有机会非常希望去现场】#姚明也想去看贵州村BA#最近，贵州乡村篮球赛“村BA”火爆出圈，在全国引起广泛关注。8月11日，中国篮球协会主席姚明在接受采访时表示，如果有机会的话，非常希望去现场体会热烈的气氛，希望比赛越办越好。@动静贵州 动静贵州的微博视频 ,https://m.weibo.cn/detail/4801603792802945,21,28,246
1,4801337784798735,都市报道,2022-08-11 17:53:15,【#村民买梯子看村BA篮球赛现场火爆#】8月3日，贵州黔东南“村BA”决赛现场，两只球队战得正酣，中场休息还有独具特色的啦啦队表演，整个赛场坐无缺席，许多村民平时不舍得吃不舍得穿，但为了看球赛，专门花钱买来梯子登高看完全场！网友：没有杂质的比赛，纯粹的篮球热爱。#蓝V视界#  ...全文,https://m.weibo.cn/detail/4801337784798735,3,3,54
1,4801613790971675,阳光下的桦子树,2022-08-12 12:10:00,#姚明回应贵州村BA篮球赛邀请#希望，别祸害基础体育运动了。 ,https://m.weibo.cn/detail/4801613790971675,0,0,0
1,4801613497632667,江西新闻广播,2022-08-12 12:08:50,#贵州村BA向姚明和CBA发出邀请#  江西新闻广播的微博视频 ,https://m.weibo.cn/detail/4801613497632667,0,0,0
1,4800901916657357,郭凯伦kellen,2022-08-10 13:01:16,天然“村BA” 纯天然无公害 绿色🏀 感受到气氛了吗？ 黔东南苗族侗族自治州 ,https://m.weibo.cn/detail/4800901916657357,8,25,419
1,4801611286711401,贵阳身边事,2022-08-12 12:00:03,#贵州村BA火出圈# 【姚明回应！贵州村BA向中国CBA发出邀请】日前，冠军球队黎平县代表队球员们以视频和邀请信的形式向中国篮球协会主席姚明先生发出邀请，诚邀姚明主席与CBA球星们前往贵州黔东南现场指导，在一同感受贵州一系列“村BA”赛事热烈氛围和黔东南篮球“天亮文化”的同时，为热爱篮球运动的 ...全文,https://m.weibo.cn/detail/4801611286711401,0,0,0
1,4801431599845559,WS偏执狂,2022-08-12 00:06:02,贵州村BA球员向姚明发出邀请，愿他带CBA球员来贵州打一场交流赛。#村BA向姚明和CBA发出邀请# WS偏执狂的微博视频 ,https://m.weibo.cn/detail/4801431599845559,9,7,65
1,4801605910136290,贵州榜哥吃喝玩乐,2022-08-12 11:38:41,#贵州村BA上央视焦点访谈#【#贵州村BA秒变顶流火出圈#！围观满级氛围感现场→】场地简陋、没有明星，但全场座无虚席，超燃现场堪比职业球赛！今年夏天，贵州“村BA”篮球赛秒变“顶流”火遍全网，许多外国网友也纷纷点赞。“村BA”火出圈，这张“活名片”还带动了当地乡村经济发展......来看满级氛围感 ...全文,https://m.weibo.cn/detail/4801605910136290,13,10,15
1,4801609475559910,白桐年糕团,2022-08-12 11:52:51,终于看到传说中的“村BA”，这氛围真的绝了 ,https://m.weibo.cn/detail/4801609475559910,0,1,0
