页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
1,3675446930490755,邓康鑫_818,2014-02-07 21:04:56,对@夢想家林志穎 说：我也想成为一名赛车手，林志疑祝你新年快乐，马年吉祥 ,https://m.weibo.cn/detail/3675446930490755,10,20,1
1,4794414583777878,光营先生,2022-07-23 15:22:55,昨天林志疑出重大车祸在微博上热搜，相信很多网友都关心小志的伤势，现在他暂时没有生命危险，还处于昏迷状态，我相信小志很快就会康 复！今天，我光营先生拿小志的八字来讲解，何解小志会发生这么严重的车祸?其原因就是小志的“官强成杀”攻身所致！小志的八字，已土日元生于戌月，属于劫财格，根 ...全文,https://m.weibo.cn/detail/4794414583777878,0,0,0
1,4794155282989490,憧憬的晨骸,2022-07-22 22:12:32,#林志颖头部受伤一度无法说话#林志颖出车祸照片，拿第一张图右边的照片跟图2抖音媒体拍的视频场景对比，同一个人实锤了。不管多帅气的脸蛋，在车祸面前，也是惨不忍睹的。林志疑，曾是多少8090童年的偶像。 ,https://m.weibo.cn/detail/4794155282989490,2,55,482
1,4794140208923453,大千奋的股民,2022-07-22 21:12:39,林志疑的事别再问了，问就是操作不当。$特斯拉(TSLA)$&amp;nbsp; ,https://m.weibo.cn/detail/4794140208923453,0,0,1
1,4794055001377614,文娱蜀黍,2022-07-22 15:34:04,何炅问Kimi会不会唱爸爸林志疑的歌曲，KIMI小奶音说唱就唱！太可爱了~ 文娱蜀黍的微博视频 ,https://m.weibo.cn/detail/4794055001377614,0,0,11
1,4508843411252442,圈内小母牛,2020-05-26 14:45:02,林志疑老婆上综艺自述：被攻击长得丑，压力大。什么时候评价一个人把美丑放在第一位了？每个人审美标准都不同，我觉得哪怕有缺陷都各有各的美。只是有些人追求的是大众定义美，有些人坚持了自己认为的美，各有所需罢了。 网页链接 ,https://m.weibo.cn/detail/4508843411252442,0,0,0
1,4456832254536809,HBATV四个夫人,2020-01-04 02:11:16,#林志颖 十七岁的雨季#初中时第一次知道林志颖，就是看海报『台湾金童林志颖，红透少女心』最尴尬的是我升高中后某次看完他的电影然后跟同学课间讨论他的时候，才发现，原来【他叫林志颖，不叫林志疑！】 太原 ,https://m.weibo.cn/detail/4456832254536809,0,1,0
1,4373064408437100,凌沐冰宸慕如雪,2019-05-17 22:27:44,#容易念错的明星名字#小学三年级的时候，林志颖，我说是叫林志颖，所有的同学都说叫林志疑，还用那种眼神看我！我说不信你们可以查字典，还是说林志疑。无语 娱乐圈有哪些明星名字容易念错认错？哪些让你傻傻分不清楚？ ,https://m.weibo.cn/detail/4373064408437100,0,0,5
1,4270206987313275,美丽符号6688,2018-08-07 02:29:05,9月25号美丽符号新品发布会:我与林志疑，张韶涵，戴军等多位明星在深圳等你哦！不见不散哦！ 莆田·安福 美丽符号6688的微博视频 ,https://m.weibo.cn/detail/4270206987313275,0,0,0
2,4209046976133440,用户6273900207,2018-02-19 08:01:02,星主是林志疑，小志哥。 ,https://m.weibo.cn/detail/4209046976133440,0,0,0
2,4120107825388543,A肖肖王后,2017-06-18 21:48:36,――🌸【男神来了】我们滴男神出来啦两个男神（大家的不老男神林志疑，我们的姬存希男神许科辉） 秒拍视频 ,https://m.weibo.cn/detail/4120107825388543,0,1,1
2,4041312590808583,可爱的贺涛少,2016-11-13 11:24:28,林志疑来德天瀑布 ,https://m.weibo.cn/detail/4041312590808583,0,0,1
2,4016380069994317,JennyLeeGo,2016-09-05 16:11:32,深圳信无畏李荣浩，任贤齐，林志疑，潘玮柏，萧亚轩，汪涵清-880票面值卖200 ,https://m.weibo.cn/detail/4016380069994317,1,2,0
2,4014274906654086,二掌柜鸿雁,2016-08-30 20:46:22,#先定个小目标# 大学创业真的可以先订个小目标#林志疑##王石# 网页链接 ,https://m.weibo.cn/detail/4014274906654086,1,0,0
2,4003411341330146,千千的千唯,2016-07-31 21:18:25,两个都是最爱。小时候喜欢林志疑大了又喜欢千玺了，正看加油向未来。,https://m.weibo.cn/detail/4003411341330146,0,0,0
2,3946176564576388,烟色月光冥妖舞起,2016-02-24 22:47:52,一屋哨牙鬼 张卫健负责耍宝，林志疑负责耍帅，朱茵负责美。真的是超级搞笑的鬼片，很喜欢看。不得不说吴君如在这里好漂亮啊。 ,https://m.weibo.cn/detail/3946176564576388,0,1,2
