页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
1,4780318471754607,环球时报,2022-06-14 17:50:00,【#北京一男子编造确诊病例虚假信息被警方行政处罚#】6月14日，在北京市新型冠状病毒肺炎疫情防控工作第365场新闻发布会上，市公安局副局长、新闻发言人潘绪宏介绍，石某某（男，36岁）从某微信群获取杨某2021年在天堂超市酒吧活动的照片后，编造杨某为近日怀柔确诊病例的虚假信息，在网络社交平台被转 ...全文,https://m.weibo.cn/detail/4780318471754607,9,20,98
1,4779289126375898,红山晚报,2022-06-11 21:39:45,#红山区公安分局快速从严处理涉疫虚假信息案件##赤峰最新疫情通报# 6月10日，红山区公安分局接到举报，有人通过短视频平台散布涉疫虚假信息。分局快速开展调查，查明林某（个体工商户）在疫情防控期间，虚构事实、编造赤峰市蔬菜价格暴涨等虚假信息，并通过自己的抖音账号、微信视频号散布、传播， ...全文,https://m.weibo.cn/detail/4779289126375898,4,4,8
1,4795782618154359,ThereForYooo,2022-07-27 09:59:00,我发现怎么每次一有男子杀人案，就有些脑缠跳出来说：我是当地的，我听说这男的打人/杀人是因为老婆给他戴绿帽子。第一，“制造虚假的险情、疫情、灾情、警情，在信息网络或者其他媒体上传播，或者明知是上述虚假信息，故意在信息网络或者其他媒体上传播，严重扰乱社会秩序的，处三年以下有期徒刑、拘 ...全文,https://m.weibo.cn/detail/4795782618154359,0,0,0
1,4795596570886147,袁玉强啦啦啦,2022-07-26 21:39:42,『关于依法依规严厉打击新冠肺炎疫情网络谣言、虚假信息传播和侵害个人信息的通告-今日头条』网页链接 ,https://m.weibo.cn/detail/4795596570886147,0,0,0
1,4795514161989027,用户7772609622,2022-07-26 16:12:15,看不懂了……为什么要和当之无愧的全球第一抗疫失败国、全球第一政治甩锅国、全球第一疫情扩散国、全球第一政治撕裂国、全球第一货币滥发国、全球第一疫期动荡国、全球第一虚假信息国、全球第一溯源恐怖主义国搞好关系？ ,https://m.weibo.cn/detail/4795514161989027,0,0,0
1,4795448281272163,罗百竹,2022-07-26 11:50:28,#微博记录# “这个王小石转发很多针对新冠疫苗的虚假信息，误导公众，把那种时间上的偶合事件当做因果事件来抨击。这才是真正祸害抗击新冠疫情的作恶。但，这样的作恶却可以肆无忌惮，横行无忌。”,https://m.weibo.cn/detail/4795448281272163,2,12,19
1,4795312520823777,家有肉丸子,2022-07-26 02:51:00,一个叫夏日祭的漫展被举报了，连带着数个漫展被举报，碍国大V们还在煽动、还在传播虚假信息，在外地创业的乡绅也在举报报道家乡疫情真相的博主，这种风气的蔓延到底如谁所愿了？,https://m.weibo.cn/detail/4795312520823777,1,0,2
1,4795062640709821,中国山东网菏泽,2022-07-25 10:18:04,【涉嫌违法！疫情防控期间这些行为不能干】编造虚假疫情信息，在网络等公众场合散布的，或者明知是虚假信息还散布和传播的。承担相应法律责任：违反《中华人民共和国突发事件应对法》第六十五条，将处以责令改正，给予警告；造成严重后果的，将依法暂停业务活动或者吊销执业许可证。违反《中华人民共和 ...全文,https://m.weibo.cn/detail/4795062640709821,0,0,0
1,4794723748812104,好困好想极,2022-07-24 11:51:26,"《刑法》第二百九十一条 之一【编造、故意传播虚假信息罪】编造虚假的险情、疫情、灾情、警情,在信息网络或者其他媒体上传播,或者明知是上述虚假信息,故意在信息网络或者其他媒体上传播,严重扰乱社会秩序的,处三年以下有期徒刑、拘役或者管制;造成严重后果的,处三年以上七年以下有期徒刑。",https://m.weibo.cn/detail/4794723748812104,0,0,0
1,4793958913802944,武威公安,2022-07-22 09:12:14,【武威市互联网信息办公室 武威市公安局关于依法严厉打击网络谣言的通告】当前，新一波新冠肺炎疫情牵动人心，全市上下正在众志成城、万众一心奋勇抗击疫情。但是，在这关键时刻，个别网民却借机散布虚假信息、网络谣言，严重影响全市疫情防控大局。为清朗网络空间，维护社会稳定，凝聚 ...全文,https://m.weibo.cn/detail/4793958913802944,0,0,0
