页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
1,4791096195941185,游民星空,2022-07-14 11:36:50,Netflix《#生化危机#》真人剧集在纽约街头的裸眼3D广告。  游民星空的微博视频 ,https://m.weibo.cn/detail/4791096195941185,55,45,163
1,4791166509257202,新浪福建,2022-07-14 16:16:14,#福州裸眼3D迎数字中国建设峰会#【第五届数字中国建设峰会来了！裸眼3D亮相！】#第五届数字中国峰会# 第五届数字中国建设峰会来了！裸眼3D亮相！一起来看↓（福州日报）  福州日报的微博视频 ,https://m.weibo.cn/detail/4791166509257202,6,9,13
1,4794129001743734,一口2个猪小蜜,2022-07-22 20:28:07,#戴比尔斯蔡徐坤裸眼3D# 这个七夕，在成都太古里邂逅#戴比尔斯品牌代言人蔡徐坤# @蔡徐坤，观看全球首发裸眼3D大片。#戴比尔斯蝴蝶系列#，#爱的新生# 。 DeBeers戴比尔斯的微博视频  ,https://m.weibo.cn/detail/4794129001743734,0,0,0
1,4794125440259392,西红柿爱吃猫咪,2022-07-22 20:13:58,我在太古里拍到的蔡徐坤 帅哥哥 #爱的新生# #戴比尔斯蔡徐坤裸眼3d#  查看图片,https://m.weibo.cn/detail/4794125440259392,0,1,0
1,4794124001349187,起名哈哈哈,2022-07-22 20:08:15,#肖战# 请肖战看青岛裸眼3D首秀@X玖少年团肖战DAYTOY，随时欢迎你来玩 #虾 什么事情都想告诉帅哥肖战# 起名哈哈哈的微博视频 ,https://m.weibo.cn/detail/4794124001349187,0,0,0
1,4794122642916511,爱仔米奇,2022-07-22 20:02:51,百盛裸眼3D大屏又一年青岛啤酒节 青岛 ,https://m.weibo.cn/detail/4794122642916511,0,1,2
1,4794121774700859,阿一五艾喔,2022-07-22 19:59:24,今日PavillionD裸眼 3D效果，有食欲，饿了！ 马来西亚·Pavilion Kuala Lumpur 阿一五艾喔的微博视频 ,https://m.weibo.cn/detail/4794121774700859,0,0,0
1,4794119664698576,地铁客流及运输研究阿牛,2022-07-22 19:51:01,【#青岛地铁# 夺什么牌？】网友：今日（2022.7.18，周五）19：08分左右，青岛地铁2号线芝泉路—台东区间，间隔4分（P1）；19：12分左右，青岛地铁1号线台东—广饶路区间，间隔约6分（2-3）；中山路看裸眼3D的人（4）。#青岛# ,https://m.weibo.cn/detail/4794119664698576,0,11,19
1,4794112953553452,蓝睛-青岛新闻中心,2022-07-22 19:24:21,青岛巨幅裸眼3D大屏点亮百年中山路  蓝睛-青岛新闻中心的微博视频 ,https://m.weibo.cn/detail/4794112953553452,0,0,0
1,4794021996139463,青岛随手拍,2022-07-22 13:22:55,青岛中山路半日游 | 浙江路天主教堂，上街里，哈啤酒，安娜别墅🏡中山路百盛，裸眼3D，晚上来看哦～#本地新势力博主##青岛旅游# 青岛·中山路 ,https://m.weibo.cn/detail/4794021996139463,1,14,33
1,4794105555058751,晓蕾影视,2022-07-22 18:54:56,陈伟霆3D裸眼大屏 陈伟霆与58同城梦幻联动，传达“选对工作，职场就是秀场”的理念  晓蕾影视的微博视频 ,https://m.weibo.cn/detail/4794105555058751,0,0,0
2,4794105512854820,秀丽影视,2022-07-22 18:54:47,陈伟霆3D裸眼大屏 陈伟霆的裸眼3D大屏亮相重庆，太真实了，仿佛来到身边  秀丽影视的微博视频 ,https://m.weibo.cn/detail/4794105512854820,0,0,0
2,4794104099113059,蓝睛,2022-07-22 18:49:09,青岛巨幅裸眼3D大屏点亮百年中山路 蓝睛的微博视频 ,https://m.weibo.cn/detail/4794104099113059,0,0,1
2,4794100534744884,Acer宏碁,2022-07-22 18:35:00,A-SIR驾到， #er百科全书Ac#准点开讲——二维画面升级成三维视效，难吗？真的不难！#Acer宏碁#SpatialLab™结合3D显示、眼球追踪、实时渲染等技术，让你无需佩戴特殊设备也能实现裸眼3D环绕，就是这么简单！转发说说你最令你直呼“哇塞”的3D体验，A-SIR将于下周四抽取一位粉丝送上心意好礼 ...全文,https://m.weibo.cn/detail/4794100534744884,9,10,5
2,4794097191357297,Mandy大芸,2022-07-22 18:21:43,妈妈😂我终于喝到江湖上传说的茶颜悦色了😂还吃到了水塔街的各种美食🥳还看了裸眼3D大屏📷我的脚好痛😭 武汉·江汉路 ,https://m.weibo.cn/detail/4794097191357297,0,3,1
2,4794091432580609,柳州市艺术剧院,2022-07-22 17:58:50,8月21日10:30 /15:00裸眼3D多媒体亲子儿童剧《小飞侠·彼得潘》来到童话的乌托邦，进入梦寐以求的无忧岛在魔幻森林里和精灵嬉戏茂密的森林，清澈的湖泊和小飞侠一起，用爱点亮森林里藏匿的浪漫 ,https://m.weibo.cn/detail/4794091432580609,0,1,0
2,4794079579475732,西吴毛奇MrZ,2022-07-22 17:11:44,没想到中山路上也有裸眼3D户外屏了。本视频来自网络，作者未知。  西吴毛奇MrZ的微博视频 ,https://m.weibo.cn/detail/4794079579475732,0,7,1
2,4794076824343113,LLLLea临,2022-07-22 17:00:47,突然就很希望有个大佬做一下裸眼3D让咱身临其境一下球球了,https://m.weibo.cn/detail/4794076824343113,0,0,0
2,4794072722837101,快乐小羊羔子_,2022-07-22 16:44:29,中山路的那个裸眼3D屏幕 透露着…一股子又土又洋气的感觉🙏🙏🙏 ,https://m.weibo.cn/detail/4794072722837101,0,0,0
2,4793760154916603,合肥天幕-先明,2022-07-21 20:02:27,小舞带着礼物来给魂师对决庆生啦！大家一起去【合肥天幕】跟小舞合影打卡吧！@斗罗大陆魂师对决 #斗罗大陆魂师对决##小舞##斗罗大陆魂师##合肥淮河路裸眼3d大屏##合肥地标# 合肥天幕-先明的微博视频 ,https://m.weibo.cn/detail/4793760154916603,31,43,198
2,4793663371346277,桃山不开山茶花,2022-07-21 13:37:51,风调禹顺还有九天，就是Me You舞台的一周年啦浅试一下【裸眼3D / 现场混响 / 环绕音】一起走出迷宫，一起创作更多作品叭！ 🐶网页链接 桃山不开山茶花的微博视频 ,https://m.weibo.cn/detail/4793663371346277,2,2,45
3,4794043885950291,知音云上,2022-07-22 14:49:54,青岛发布首个城市虚拟智能数字人IP“青岛小嫚”7月21日，青岛城市推荐官数字人“青岛小嫚”正式上线。“青岛小嫚”是由青岛市人民政府新闻办公室指导、山东金东数字创意股份有限公司精心打造，是青岛首个城市虚拟智能数字人IP。7月21日晚，她以市南文旅宣传大使身份，首次出现在中山路百盛户外裸眼3D ...全文,https://m.weibo.cn/detail/4794043885950291,0,0,0
3,4794036379190877,Mewi,2022-07-22 14:20:04,裸眼3D#青岛# Mewi的微博视频 ,https://m.weibo.cn/detail/4794036379190877,0,1,0
3,4794034617320709,Catlyn许,2022-07-22 14:13:04,裸眼3D广告相较于传统的平面广告宣传，具有更加直观详实、信息丰富，不依靠眼镜、头盔等辅助工具就可以看到逼真的立体影像，具有新奇便捷、震撼力大、画面感强等优点，同时摆脱3D眼镜束缚轻松实现立体形象。#虫魔院##六子台科技##3D动画# ,https://m.weibo.cn/detail/4794034617320709,0,0,0
3,4794032904996697,你算是哪块小饼干233,2022-07-22 14:06:16,想去海边 想去小麦岛看日落 想去中山路看裸眼3D 想去看看沈腾的电影，不知道有没有小伙伴儿想一起啊！青岛青岛西海岸新区乐活黄岛   青岛 ,https://m.weibo.cn/detail/4794032904996697,0,0,1
