类别,类别名,页数,武器名,武器介绍,武器星级,攻击,会心,武器详情url,武器图片url
1,双枪,1,焢煌之境：劫炎永燎,"炎律唯二可以在空中使用的武器，提供：高额爆发、高连击数、高加成与火焰易伤效果。同时还能回复关键的能量值（SP）

相较圣痕，有无专属武器不但是伤害层面的差距，游戏体验也会有着很大差别（不能空中武器主动，爆发显著降低，SP循环稍难 ）",6,443,19,http://www.3rdguide.com/web/arm/detail?id=276,http://static.3rdguide.com/image/data/uploads/all/202107/19670b2b22c.png
1,双枪,1,阳电子手炮,月光完美的毕业武器，摆脱了开普勒（中）的束缚，仅需一把武器就可获得极高的麻痹覆盖率。主动直接接分支的设计，也使得角色无需攻速加成（对转圈影响很小）。除了输出向，也可利用其物理易伤来辅助队友，0SP主动的设定非常适合战场竞速。,6,418,27,http://www.3rdguide.com/web/arm/detail?id=227,http://static.3rdguide.com/image/data/uploads/all/201910/67204aab8dd.png
1,双枪,1,幽夜狂想曲,第六夜完美的毕业武器，加伤综合，且主动能够提供：高额倍率伤害、3次连续的分支、瞬时的聚怪效果，整体和第六夜的输出方式非常契合。可惜，除了第六夜，其它角色使用时效果一般，甚至会不如老的幽色咏叹调。,6,415,35,http://www.3rdguide.com/web/arm/detail?id=233,http://static.3rdguide.com/image/data/uploads/all/202001/11dd728dc63.png
1,双枪,1,空无之境：永劫,空之律者完美的毕业武器。破盾、加伤、倍率、面板、减伤，在各个方面都对女王进行了一波加强，整体提升显著。在面对克制类敌人时，超限空无的女王表现优秀。,6,393,43,http://www.3rdguide.com/web/arm/detail?id=244,http://static.3rdguide.com/image/data/uploads/all/202005/b0596d797b9.png
1,双枪,1,焢煌之钥,具体可参照超限武器，就高级区来说，幽色咏叹调的瞬间爆发并不比专属低。但炎律毕竟是打持续输出的角色，一旦进入长流程的持久战，专属的优势就会非常明显了。,5,299,13,http://www.3rdguide.com/web/arm/detail?id=277,http://static.3rdguide.com/image/data/uploads/all/202107/f9a8f2da3bd.png
1,双枪,1,索尔之锤,物理通用双枪，主要作用还是其主动80%的高额脆弱（可被时空延长持续时间），常常用于辅助物理主C。,5,298,6,http://www.3rdguide.com/web/arm/detail?id=2,http://static.3rdguide.com/image/data/uploads/all/201802/ac765b20170.png
1,双枪,1,伊甸双星,最主要的作用是全角色+10攻击力。本质是和索尔互补的脆弱双枪，脆弱的前提是：击破敌人护盾，或敌人本来就没护盾。SP消耗低，脆弱不受时空限制（索尔的脆弱可以时空扩），在记忆战场中的表现会优于索尔，如：空律山吹紫苑打地藏。,5,287,21,http://www.3rdguide.com/web/arm/detail?id=245,http://static.3rdguide.com/image/data/uploads/all/202005/d58016f4a5c.png
1,双枪,1,异型·赫尔之弓,依赖眩晕/冰冻控制，以获得高额加伤的物理双枪。虽然可搭配雪地大招，全场冰冻敌人，但常态加成低，且不如各自的专属武器以及幽色咏叹调强力。,5,287,31,http://www.3rdguide.com/web/arm/detail?id=166,http://static.3rdguide.com/image/data/uploads/all/201805/f14468fcf71.png
1,双枪,1,超电磁手炮,古老的月光毕业武器，已经基本没有实用价值。不过是超限电磁炮的前置要素（解锁图鉴），依旧可以成为新的毕业武器。,5,287,19,http://www.3rdguide.com/web/arm/detail?id=3,http://static.3rdguide.com/image/data/uploads/all/201802/2a9a8b1dc68.png
1,双枪,1,凡尘难渡,遂有此键,5,286,20,http://www.3rdguide.com/web/arm/detail?id=261,http://static.3rdguide.com/image/data/uploads/all/202102/29419fac135.png
1,双枪,2,连山守护,虽然天穹游侠在搭配彗星驱动时，可轻松触发武器的被动加成，但适用范围一般，不如幽色咏叹调广，因此不推荐升级，35即可。,5,285,22,http://www.3rdguide.com/web/arm/detail?id=6,http://static.3rdguide.com/image/data/uploads/all/201802/3b34871303d.png
1,双枪,2,往世的华章,老式燧发枪，明星的选择。,5,284,13,http://www.3rdguide.com/web/arm/detail?id=300,http://static.3rdguide.com/image/data/uploads/all/202204/582674421e4.png
1,双枪,2,原型·妖精之弓,真·快乐玩家，该武器主动没用CD限制，仅SP限制，SP充足时，可体验连射的快乐。,5,279,35,http://www.3rdguide.com/web/arm/detail?id=9,http://static.3rdguide.com/image/data/uploads/all/201802/6e6c41fa998.png
1,双枪,2,血手圣徒,原罪猎人标准的毕业武器，双被动的设计十分契合原罪驻场持续分支的输出模式。以前也用于辅助——利用轨道炮来快速破盾，但现在意义不大。,5,277,33,http://www.3rdguide.com/web/arm/detail?id=194,http://static.3rdguide.com/image/data/uploads/all/201809/698a1596afd.png
1,双枪,2,能量跃迁者,老的月光毕业武器，在超限电磁炮出现后，便辉煌不再。,5,276,32,http://www.3rdguide.com/web/arm/detail?id=7,http://static.3rdguide.com/image/data/uploads/all/201802/4ec121d7eb0.png
1,双枪,2,烈焰毁灭者,它有一个好听的称号“蛋池毁灭者”，不过目前来说，蛋池里已经基本见不到该武器了。（想抽都抽不到）,5,276,32,http://www.3rdguide.com/web/arm/detail?id=4,http://static.3rdguide.com/image/data/uploads/all/201802/e1070189cc4.png
