题名,作者,来源,发表时间,数据库,被引,下载
基于轮廓度量与AI模型的工业缺陷检测算法研究,王志强刘冬冬,齐齐哈尔大学学报(自然科学版),2023-03-13,期刊,0,0
基于轮廓度量与AI模型的工业缺陷检测算法研究,王志强刘冬冬,齐齐哈尔大学学报(自然科学版),2023-03-13,期刊,0,0
基于改进YOLOv4的柱形锂电池缺陷检测研究,田杰胡昊周华健邹润,机械工程师,2023-03-10,期刊,0,0
Enhanced weight symplectic geometry decomposition based on maximum periodic kurtosis deconvolution,Cheng Jian;Yang Yu;Shao Haidong;Cheng Junsheng,Measurement Science and Technology,2023-03-10,外文期刊,0,0
Defect detection algorithm for magnetic particle inspection of aviation ferromagnetic parts based on improved DeepLabv3+,Zeng Lu;Zhang Shouming;Wang Pengju;Li Zuze;Hu Yongjin;Xie Tao,Measurement Science and Technology,2023-03-10,外文期刊,0,0
Software Bugs Detection Using Supervised Machine Learning Techniques,Shah Manthan;Sharma Ayushi;Kumar Rizon,Advances in Science and Technology,2023-03-10,外文期刊,0,0
Review of optical detection technologies for inner-wall surface defects,Liu Lei;Zhang Hongshun;Jiao Fanwei;Zhu Linlin;Zhang Xiaodong,Optics and Laser Technology,2023-03-10,外文期刊,0,0
Ultrasensitive and stable SERS detection by defect engineering constructed Ag@Ga-doped ZnO core-shell nanoparticles,Wu Haoran;Wang Jingjing;Yang Qiong;Qin Shaoxiong;Li Zixiu;Zhang Yang;Pan Jiaqi;Li Chaorong,Applied Surface Science,2023-03-10,外文期刊,0,0
Anomaly detection for fault detection in wireless community networks using machine learning,Cerdà-Alabern Llorenç;Iuhasz Gabriel;Gemmi Gabriele,Computer Communications,2023-03-10,外文期刊,0,0
Detection of surface defects based on the optimized scanning laser source method,Liang Xiaohu;Lin Bin;Liu Zaiwei;Du Anyao,Wave Motion,2023-03-10,外文期刊,0,0
A novel fault detection method for rotating machinery based on self-supervised contrastive representations,Yang Zhe;Huang Yunwei;Nazeer Faisal;Zi Yanyang;Valentino Gianluca;Li Chuan;Long Jianyu;Huang Huiyu,Computers in Industry,2023-03-10,外文期刊,0,0
A pixel-level weak supervision segmentation method for typical defect images in X-ray inspection of solid rocket motors combustion chamber,Li Liangliang;Ren Jia;Wang Peng;Gao Hui;Sun Mengyu;Sha Baolin;Lü Zhigang;Li Xiaoyan,Measurement,2023-03-10,外文期刊,0,0
Non-parametric Ensemble Empirical Mode Decomposition for extracting weak features to identify bearing defects,Kumar Anil;Berrouche Yaakoub;Zimroz Radoslaw;Vashishtha Govind;Chauhan Sumika;Gandhi C.P.;Tang Hesheng;Xiang Jiawei,Measurement,2023-03-10,外文期刊,0,0
Real-time detection of barely visible defects on composite structures based on surface reconstruction,Wang Guowen;Zhang Laibin;Xu Xiaoyao;Xuan Shanyong;Fan Xin;Kan Yan;Yao Xuefeng,Composite Structures,2023-03-10,外文期刊,0,0
An enhanced principal component analysis method with Savitzky–Golay filter and clustering algorithm for sensor fault detection and diagnosis,Wen Shuqing;Zhang Weirong;Sun Yifu;Li Zhenxi;Huang Boju;Bian Shouguo;Zhao Lin;Wang Yan,Applied Energy,2023-03-10,外文期刊,0,0
Automated joint 3D reconstruction and visual inspection for buildings using computer vision and transfer learning,Wang Tao;Gan Vincent J.L.,Automation in Construction,2023-03-10,外文期刊,0,0
Improving training efficiency for scalable automated fault detection and diagnosis in chilled water plants by transfer learning,Miyata Shohei;Kuwahara Yasuhiro;Tsunemoto Shoko;Tanaka Katsuhiko;Akashi Yasunori,Energy & Buildings,2023-03-10,外文期刊,0,0
Fault size estimation of rolling bearing based on weak magnetic detection,Zhan Liwei;Li ZhengHui;Chi Jie;Zhuo Shi;Li Chengwei,Mechanical Systems and Signal Processing,2023-03-10,外文期刊,0,0
"Condition Monitoring using Machine Learning: A Review of Theory, Applications, and Recent Advances",Surucu Onur;Gadsden Stephen Andrew;Yawney John,Expert Systems With Applications,2023-03-10,外文期刊,0,0
"Electrical fault tolerance of photovoltaic array configurations: Experimental investigation, performance analysis, monitoring and detection",Satpathy Priya Ranjan;Aljafari Belqasem;Thanikanti Sudhakar Babu;Madeti Siva Rama Krishna,Renewable Energy,2023-03-10,外文期刊,0,0
Miniaturized multi-modality field-ready sensing system for defect detection of CFRP materials,Probst Paul;Piao Guanyu;Kumar Deepak;Peng Lei;Kotriwar Yamini;Srinivasan Vijay;Davis Eric;Constable John;Wong Jade M.;Deng Yiming,NDT and E International,2023-03-10,外文期刊,0,0
