店名,地址,评分,人均价格,详情url
永辉超市（时代天街店）,郫都区高新区合作路89号龙湖时代天街16栋B1层,3.5分,人均¥112,https://www.meituan.com/wanggou/97052831/
永辉超市（青龙广场店）,成华区龙绵街1666号负一层,3.5分,人均¥86,https://www.meituan.com/wanggou/165496549/
永辉超市（汇龙湾店）,金牛区沙湾路1号2楼,4分,人均¥92,https://www.meituan.com/wanggou/42777377/
永辉超市（龙湖北城天街店）,金牛区五块石路1号,4分,人均¥92,https://www.meituan.com/wanggou/111561527/
永辉超市（抚琴南路店）,金牛区永陵路19号（永陵路与抚琴南路交叉口）,4分,人均¥75,https://www.meituan.com/wanggou/4235114/
永辉超市（银泰城店）,武侯区益州大道1999号银泰城购物中心B1层,3.5分,人均¥172,https://www.meituan.com/wanggou/87758450/
永辉超市（文华广场店）,锦江区东大街东大路段泰合国际财富中心负一楼,3.5分,人均¥114,https://www.meituan.com/wanggou/1417789753/
永辉超市（中铁大道店）,青羊区光华北三路55号鹏瑞利青羊广场负一楼,3.5分,人均¥114,https://www.meituan.com/wanggou/75936261/
永辉超市（双楠店）,武侯区盛丰路555号汇融新贵公馆,3.5分,人均¥55,https://www.meituan.com/wanggou/81454265/
永辉超市（西单店）,青羊区苏坡东路12号,3.5分,人均¥96,https://www.meituan.com/wanggou/118750601/
永辉超市（万科路店）,成华区万科路9号,3.5分,人均¥88,https://www.meituan.com/wanggou/77284141/
永辉超市（海伦国际店）,新都区香城大道电子路段388号海伦城市广场负一楼,3.5分,人均¥214,https://www.meituan.com/wanggou/69030649/
永辉超市（龙湖滨江天街店）,成华区杉板桥路龙湖滨江天街1栋B1-Z1,3.5分,人均¥88,https://www.meituan.com/wanggou/1095057959/
步步高超市（川师店）,锦江区静明路比华利国际城,3.5分,人均¥83,https://www.meituan.com/wanggou/51185680/
永辉超市（龙潭寺店）,成华区成华大道龙潭路33号,3.5分,人均¥140,https://www.meituan.com/wanggou/162871367/
永辉超市（金楠天街店）,武侯区晋阳路363号负一楼1号,4分,人均¥60,https://www.meituan.com/wanggou/175469577/
永辉超市（东方明珠店）,成华区双建路8号,3.5分,人均¥77,https://www.meituan.com/wanggou/166015820/
永辉超市（皇冠国际店）,龙泉驿区北泉路1018号（皇冠国际社区3期B1）,3.5分,人均¥122,https://www.meituan.com/wanggou/52974855/
永辉超市（凯德·天府店）,武侯区天仁路388号（凯德·天府B1层）,3.5分,人均¥134,https://www.meituan.com/wanggou/89306946/
喔喔超市,青羊区小南街123号冠城花园三期5栋,3.5分,暂无价格,https://www.meituan.com/wanggou/155412723/
永辉超市（国色天乡店）,温江区万春镇江宁南路447号国色天乡商业街购物中心2层,3分,人均¥116,https://www.meituan.com/wanggou/89492003/
步步高超市（成都洪河店）,龙泉驿区大面洪河中路600号地下负二层1879号,3.5分,暂无价格,https://www.meituan.com/wanggou/1994455360/
永辉超市（南华路店）,武侯区西航港街道南华路188号,3分,人均¥81,https://www.meituan.com/wanggou/189998452/
永辉超市（茶店子店）,金牛区茶店子紫辰天街负一楼,3.5分,暂无价格,https://www.meituan.com/wanggou/189785850/
永辉超市（都江堰融创店）,都江堰市玉堂街道宝瓶社区至臻路1号融创茂负1层,3.5分,人均¥87,https://www.meituan.com/wanggou/1542479645/
步步高超市（青羊万达店）,青羊区苏坡街道日月大道一段青羊万达广场一号门负一楼（服务台旁）,3.5分,人均¥59,https://www.meituan.com/wanggou/135064634/
步步高超市（泛悦广场店）,成华区驷马桥街泛悦城市广场购物中心负一楼,3.5分,暂无价格,https://www.meituan.com/wanggou/1140395862/
永辉超市（蒙阳店）,彭州市濛兴西路50号,3.5分,暂无价格,https://www.meituan.com/wanggou/165795992/
瑞鑫超市（宁馨大道店）,郫都区宁馨大道唐昌镇人民政府南200米,3.5分,暂无价格,https://www.meituan.com/wanggou/52585838/
华联超市,双流区川大路二段1号川大内商业街4号,3.5分,人均¥12,https://www.meituan.com/wanggou/70305110/
联华超市（鼎盛时代店）,邛崃市文君街道凤凰大道642号,3分,暂无价格,https://www.meituan.com/wanggou/1373627916/
民乐超市（百草路店）,郫都区百草路东红旗超市东北侧,3.5分,暂无价格,https://www.meituan.com/wanggou/50588818/
永辉超市（时代天街店）,郫都区高新区合作路89号龙湖时代天街16栋B1层,3.5分,人均¥112,https://www.meituan.com/wanggou/97052831/
永辉超市（青龙广场店）,成华区龙绵街1666号负一层,3.5分,人均¥86,https://www.meituan.com/wanggou/165496549/
永辉超市（汇龙湾店）,金牛区沙湾路1号2楼,4分,人均¥92,https://www.meituan.com/wanggou/42777377/
喔喔超市,青羊区小南街123号冠城花园三期5栋,3.5分,暂无价格,https://www.meituan.com/wanggou/155412723/
永辉超市（银泰城店）,武侯区益州大道1999号银泰城购物中心B1层,3.5分,人均¥172,https://www.meituan.com/wanggou/87758450/
永辉超市（龙湖北城天街店）,金牛区五块石路1号,4分,人均¥92,https://www.meituan.com/wanggou/111561527/
永辉超市（抚琴南路店）,金牛区永陵路19号（永陵路与抚琴南路交叉口）,4分,人均¥75,https://www.meituan.com/wanggou/4235114/
永辉超市（双楠店）,武侯区盛丰路555号汇融新贵公馆,3.5分,人均¥55,https://www.meituan.com/wanggou/81454265/
永辉超市（中铁大道店）,青羊区光华北三路55号鹏瑞利青羊广场负一楼,3.5分,人均¥114,https://www.meituan.com/wanggou/75936261/
永辉超市（文华广场店）,锦江区东大街东大路段泰合国际财富中心负一楼,3.5分,人均¥114,https://www.meituan.com/wanggou/1417789753/
永辉超市（西单店）,青羊区苏坡东路12号,3.5分,人均¥96,https://www.meituan.com/wanggou/118750601/
永辉超市（万科路店）,成华区万科路9号,3.5分,人均¥88,https://www.meituan.com/wanggou/77284141/
步步高超市（川师店）,锦江区静明路比华利国际城,3.5分,人均¥83,https://www.meituan.com/wanggou/51185680/
永辉超市（东方明珠店）,成华区双建路8号,3.5分,人均¥77,https://www.meituan.com/wanggou/166015820/
永辉超市（金楠天街店）,武侯区晋阳路363号负一楼1号,4分,人均¥60,https://www.meituan.com/wanggou/175469577/
永辉超市（龙湖滨江天街店）,成华区杉板桥路龙湖滨江天街1栋B1-Z1,3.5分,人均¥88,https://www.meituan.com/wanggou/1095057959/
永辉超市（海伦国际店）,新都区香城大道电子路段388号海伦城市广场负一楼,3.5分,人均¥214,https://www.meituan.com/wanggou/69030649/
永辉超市（凯德·天府店）,武侯区天仁路388号（凯德·天府B1层）,3.5分,人均¥134,https://www.meituan.com/wanggou/89306946/
永辉超市（皇冠国际店）,龙泉驿区北泉路1018号（皇冠国际社区3期B1）,3.5分,人均¥122,https://www.meituan.com/wanggou/52974855/
永辉超市（龙潭寺店）,成华区成华大道龙潭路33号,3.5分,人均¥140,https://www.meituan.com/wanggou/162871367/
永辉超市（国色天乡店）,温江区万春镇江宁南路447号国色天乡商业街购物中心2层,3分,人均¥116,https://www.meituan.com/wanggou/89492003/
步步高超市（成都洪河店）,龙泉驿区大面洪河中路600号地下负二层1879号,3.5分,暂无价格,https://www.meituan.com/wanggou/1994455360/
永辉超市（茶店子店）,金牛区茶店子紫辰天街负一楼,3.5分,暂无价格,https://www.meituan.com/wanggou/189785850/
永辉超市（都江堰融创店）,都江堰市玉堂街道宝瓶社区至臻路1号融创茂负1层,3.5分,人均¥87,https://www.meituan.com/wanggou/1542479645/
永辉超市（南华路店）,武侯区西航港街道南华路188号,3分,人均¥81,https://www.meituan.com/wanggou/189998452/
步步高超市（青羊万达店）,青羊区苏坡街道日月大道一段青羊万达广场一号门负一楼（服务台旁）,3.5分,人均¥59,https://www.meituan.com/wanggou/135064634/
步步高超市（泛悦广场店）,成华区驷马桥街泛悦城市广场购物中心负一楼,3.5分,暂无价格,https://www.meituan.com/wanggou/1140395862/
华联超市（永兴店）,双流区黄金桥路199号,3.5分,暂无价格,https://www.meituan.com/wanggou/182992218/
