page,title,info,intro,href
1,资讯:3月，大批企业上门招蜗牛学员了……,作者：管理员   类别：学院动态   日期：2022-03-11 10:31:24   阅读：253 次   消耗积分：0 分,转眼已经是虎年的3月了，正值金三银四，求职的小伙伴战况如何呀？进入3月，到蜗牛学苑上门招聘以及洽谈合作的企业就没断过！这段时间可把我们各校区的就业老师们给忙坏了...,http://old.woniuxy.com/note/845
1,访谈:房产销售转前端，斩获5个offer，是运气还是实力...,作者：管理员   类别：学院动态   日期：2022-03-11 10:08:47   阅读：842 次   消耗积分：0 分,● 在蜗牛学苑让我感受到了学习带来的快乐，也让我度过了职业生涯上的灰暗时光，感谢蜗牛带我入行并成功拿到自己满意的offer！学科|前端校区|重庆薪资|10K在蜗牛...,http://old.woniuxy.com/note/844
1,资讯:2022年蜗牛创想启动全国人才储备计划，有胆你就...,作者：管理员   类别：学院动态   日期：2022-03-04 13:15:24   阅读：540 次   消耗积分：0 分,蜗牛创想2022 RECRUIT /从前，梦想与陪伴是单选题，这一次，我们想给你提供多选题。我们希望，那些为梦想远走高飞的游子，在历尽繁华后，可以选择落地生根，让梦想的种...,http://old.woniuxy.com/note/843
1,漫谈:考研失利继续“二战、三战”？换种选择赢得更多！,作者：管理员   类别：学院动态   日期：2022-03-04 12:47:49   阅读：534 次   消耗积分：0 分,在这个万物皆可内卷的时代，不少大学生都被裹挟进了考研大潮中。据了解，2021年研究生录取率为29.55%，2022年研究生录取率仅有24.22%，不升反降。从大家晒出的考研成绩...,http://old.woniuxy.com/note/842
1,访谈:后期特效转前端开发，毕业时的遗憾终究是弥补了！,作者：管理员   类别：学院动态   日期：2022-03-04 12:17:48   阅读：420 次   消耗积分：0 分,● 很多时候不去尝试难以清楚自己适合做什么工作，对什么工作更感兴趣。大千世界工作千万种，如果兜兜转转还是无法放弃最初的念想，不如就放手一搏，尽最大的努力去...,http://old.woniuxy.com/note/841
1,资讯:校企合作|欢迎西安外事学院优秀教师们到蜗牛学苑...,作者：管理员   类别：学院动态   日期：2022-02-25 10:37:55   阅读：290 次   消耗积分：0 分,2月16日，西安外事学院系主任一行人到蜗牛学苑西安校区参观并实地考察。针对蜗牛学苑课程和高校课程的互补学习进行了亲切友好的交谈，并制定了为期两周的提升学习计划。本...,http://old.woniuxy.com/note/840
1,访谈:设计转开发月薪16K！人生不只是超越别人更是在挑...,作者：管理员   类别：学院动态   日期：2022-02-25 10:32:53   阅读：421 次   消耗积分：0 分,万众瞩目的冬奥会在北京国家体育场落下帷幕，短短的一个月里，我们见证了运动员们在赛场挥洒汗水，激情拼搏的样子，他们不仅超越对手，更在突破和挑战自己。今天跟大家分享...,http://old.woniuxy.com/note/839
1,漫谈:程序员跳槽薪资怎么谈？快来get谈薪技巧吧！,作者：管理员   类别：学院动态   日期：2022-02-25 10:29:29   阅读：297 次   消耗积分：0 分,当下金三银四春季招聘又要开始啦！对于很多程序员朋友来说，又是求职或跳槽的一次小高峰。准备求职或正在求职的小伙伴们状态如何呢？是面了很多家都没反馈？还是薪资没谈拢...,http://old.woniuxy.com/note/838
1,访谈:跨越大半个中国到成都学习，如愿进入网络安全行业...,作者：管理员   类别：学院动态   日期：2022-02-18 11:23:47   阅读：463 次   消耗积分：0 分,● 年少时为梦想为拓展知识求学，如今为求职为高薪为生活更为成为更好的自己求学。我们在每个阶段都有着不同的任务和追求。家在济南的许同学是21届计算机专业的本科...,http://old.woniuxy.com/note/837
1,资讯:年后第一班，六大校区教室内座无虚席！满满当当！,作者：管理员   类别：学院动态   日期：2022-02-18 11:16:39   阅读：444 次   消耗积分：0 分,春节的热闹氛围和冬奥会的激情欢呼声下，我们踏上了年后的新征程！本周蜗牛学苑成都、天府、西安、上海、重庆、武汉六大校区迎来了新班，新年接好运，学员们从“心”出发，...,http://old.woniuxy.com/note/836
