类别,电影详情页url,电影名,年份,标签,导演,编剧,演员,评分,简介,海报url
热门,https://movie.douban.com/subject/26642033/,小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,2022,喜剧/科幻/动画,凯尔·巴尔达,马修·福格尔/布莱恩·林奇,史蒂夫·卡瑞尔/皮埃尔·柯芬/艾伦·阿金/塔拉吉·P·汉森/杨紫琼/朱莉·安德鲁斯/拉塞尔·布兰德/尚格·云顿/杜夫·龙格尔/丹尼·特雷霍/露西·劳莱丝/欧阳万成/凯文·迈克尔·理查德森/约翰·迪·马吉欧/罗伯特·菲茨杰拉德·迪格斯/迈克尔·贝亚蒂/威尔·阿奈特/史蒂夫·库根/克莱特·惠特克/雷蒙德·S·佩尔西/凯尔·巴尔达/鲍伯·伯根/比务·比林格斯勒拉/大卫·陈/梅里·康德伦/安东尼奥·劳尔·科尔波/黛比·德里贝里/斯嘉丽·艾斯特维兹/杰克·格林/雷蒙·汉密尔顿/亚伦·亨德利/山姆·拉瓦尼诺/达恩·刘易斯/阿玛丽·麦考伊/内芙·沙雷尔/詹姆士·谢/明迪·斯特林/弗雷德·塔特西奥/雷吉纳·托芬/黛布拉·威尔逊/托尼·安塞尔莫,7.2,这部新片将是2015年推出的小黄人独立电影《小黄人大眼萌》的直接续集。它作为《神偷奶爸》的衍生作品，讲述了小黄人们在“前格鲁”时代为其他主人服务的经历，不过少年格鲁曾经出现在这部衍生电影里，续集将围绕他与小黄人们结缘的过程展开剧情。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2870674906.jpg
热门,https://movie.douban.com/subject/35056243/,13条命 Thirteen Lives,2022,剧情/惊悚/传记,朗·霍华德,威廉姆·尼克尔森/丹·麦克弗森,维果·莫腾森/科林·法瑞尔/乔尔·埃哲顿/汤姆·巴特曼/乔什·赫尔曼/简·拉金/扎赫拉·纽曼/保拉·加西亚/刘易斯·菲茨-杰拉德/维他亚·潘斯林加姆/保罗·格里森/萨哈贾克·波斯安吉特/阿汀·约翰/彼得·奈特/披纳若·苏潘平佑/凯文·斯宾克/布莱克·麦克法兰/苏格拉瓦·卡那诺/Thira Chutikul/沙克里亚·塔里亚瓦特/提拉瓦特·穆维莱/努弗恩·布艾/文森特·B·拉戈斯/提拉帕·萨扎顾/Chatchawai Kamonsakpitak/陂帕同·颂通亚纳奇/Ploy Pattrakorn Tangsupakun/凯·潘塔诺,7.9,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2875288644.jpg
热门,https://movie.douban.com/subject/35262994/,铁血战士：猎物 Prey,2022,动作/科幻/恐怖,丹·特拉亨伯格,Patrick Aison,安伯·明迪桑德/戴恩·迪利格罗/斯蒂芬·马蒂亚斯/斯托米·基普/达寇塔·比弗,6.7,本片以300年前的科曼奇族为背景，讲述了一个名叫纳鲁的年轻女子的故事，她是一位凶猛且技艺高超的战士。她在大平原上一些传奇的猎人阴影下长大，所以当危险威胁到她的营地时，她要保护她的族人。当她发现自己面对的猎物是一个高度进化的外星掠食者，且拥有先进的技术武器，一场恶战开始了！,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2876641124.jpg
热门,https://movie.douban.com/subject/30267287/,犯罪都市2 범죄도시2,2022,动作/犯罪,李相龙,马东锡/李相龙/李英重,马东锡/孙锡久/崔奎华/朴智焕/许栋元/河俊/郑在光/南文哲/朴智英/李柱元/音文硕/金灿亨/李奎元/全镇吾/李多一/金英成/车宇振,7.5,首尔重案组马队长（马东锡 饰）远赴越南引渡自首韩国疑犯，几经拷问下查出背后庞大的绑架阴谋，幕后黑手正是专门绑架韩国旅客的癫丧残暴杀手姜海尚（孙锡久 饰）。霸气野兽刑警马队长不惜狂追猛打，由韩国打到越南，连环使出招牌「一拳KO」，对抗刀刀要命的姜海尚，誓以极拳执法将罪犯清零！,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2872991814.jpg
热门,https://movie.douban.com/subject/7051806/,灰影人 The Gray Man,2022,动作/惊悚,安东尼·罗素,乔·罗素/克里斯托弗·马库斯/斯蒂芬·麦克菲利/马克·格里尼,瑞恩·高斯林/克里斯·埃文斯/安娜·德·阿玛斯/杰西卡·亨维克/茱莉亚·巴特斯/雷吉-让·佩吉/比利·鲍伯·松顿/瓦格纳·马拉/丹努什/阿尔法·伍达德/谢伊·惠格姆/道比·欧帕瑞/罗伯特·卡辛斯基/Daz Crawford/卡兰·马尔韦/卡梅伦·克罗维蒂/纳迪夫·莫尔乔/吉米·让-刘易斯/艾米·伊库瓦克/凯伦金贝克/凯特·布朗伯格/贝基·吴/玛丽亚·达金娜/Kaipo Schwab/肯德尔·威尔斯/Michael Anthony Rogers/马丁·威廉·哈里斯/卡雷尔·黑勒曼克/Michel Carliez/布伦特·麦吉/法乌齐·卜拉希米/斯特芬·杰科/斯温·吉尔伯格/马修·弗林·贝罗斯/吉·亚历山大/乔·罗素,6.6,《灰影人》由Netflix和AGBO合制，剧情讲述人称“灰影人”的寇特·詹特利（瑞恩·高斯林 饰）为中情局效命，特务代号“山岭六号”。上线唐纳德·菲茨罗伊（比利·鲍伯·松顿 饰）当初将他弄出联邦监狱，让他成为局里钦点的精锐死亡佣兵。如今风水轮流转，六号反倒沦为头号目标，中情局前同事洛伊德·汉森（克里斯·埃文斯 饰）为了铲除他，无所不用其极地发动全球围攻，特工达妮·米兰达（安娜·德·阿玛斯 饰）却总能在他千钧一发之际伸出援手。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2873535079.jpg
热门,https://movie.douban.com/subject/35284168/,光年正传 Lightyear,2022,剧情/动作/科幻,安格斯·麦克莱恩,安格斯·麦克莱恩/杰森·赫德利/马修·奥尔德里奇/安德鲁·斯坦顿,克里斯·埃文斯/柯柯·帕尔莫/彼得·孙/塔伊加·维迪提/戴尔·索尔斯/詹姆斯·布洛林/乌佐·阿杜巴/玛丽·麦克唐纳-刘易斯/小伊塞亚·维特洛克/安格斯·麦克莱恩/比尔·哈德尔/艾弗连·莱米雷斯/凯拉·海斯顿,6.8,皮克斯打造《玩具总动员》系列衍生动画电影《光年正传》，美队Chris Evans配音。讲述巴斯光年人类原型宇航员的起源故事，他从一个年轻的试飞员，变为大家熟知的太空游侠。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2873213286.jpg
热门,https://movie.douban.com/subject/34832354/,魔女2 마녀 Part2. The Other One,2022,动作/悬疑,朴勋政,朴勋政,申诗雅/朴恩斌/徐恩秀/晋久/成侑彬/赵敏修/车顺裴/贾斯汀·约翰·哈维/边书允/蔡元彬/徐怡拉/郑拉尔/金基海/郑雨琳/李钟硕/金多美,6.1,影片讲述了一名少女在某个巨型秘密实验室里醒来，她逃出实验室，偶然遇到努力从犯罪组织那里守护自己的家的庆熙。闯入庆熙家里的犯罪组织和少女冲突后，少女以压倒性的实力打败了他们。这期间，秘密实验室一直在追踪少女，这名神秘的少女到底是谁？,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2872429677.jpg
热门,https://movie.douban.com/subject/34850561/,咒,2022,恐怖,柯孟融,柯孟融/张喆崴,蔡亘晏/黄歆庭/高英轩/林敬伦/温庆禹/彭海义/黄玲/宋燕旻/陈昭妃/谢采洁/林义钦/常在兴/洪毓璟,6.9,六年前，怀孕的李若男（蔡亘宴 饰）、陈立东（林敬伦 饰）和陈振原（温庆禹 饰）秉着破除迷信的态度进入了陈家村，据说那里供奉着不可冒犯的神明。陈立东和陈振原因为传入了祭坛所在的禁地而招致了灭顶之灾，李若男虽然逃过一死，精神却受到了极大的冲击。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2871258860.jpg
热门,https://movie.douban.com/subject/35882880/,宿敌 Jana Gana Mana,2022,剧情,Dijo Jose Antony,Sharis Mohammed,普利特维拉吉·苏库玛兰/玛玛塔·莫汉达斯/Vincy Aloshious/Siddique/Suraj Venjaramoodu/Benzi Mathews/Shari/Rajesh Babu/Midhun Venugopal/LittleDarshan,8.6,一名大学教授的残忍谋杀案引发了学生骚乱，一位警察展开调查的同时一名律师在法庭上寻求正义。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2874026114.jpg
热门,https://movie.douban.com/subject/35192111/,掮客 브로커,2022,剧情,是枝裕和,是枝裕和,宋康昊/姜栋元/裴斗娜/李知恩/李珠英/白贤镇/金艺恩/宋清晨,6.7,相铉（宋康昊 饰）经营洗衣店，可惜生意淡静更负债累累。好兄弟东秀（姜栋元 饰）本身是孤儿，为“婴儿暂存箱”机构工作。在一个雨夜，他们竟秘密带走其中一个箱里的男婴。翌日，年轻的母亲文素英（李知恩 饰）却找上门要求领回自己的孩子羽星！本想报警揭发，但素英最终竟同意让两个“中间人”为儿子寻觅更好的父母，并决定跟随两人同行。另一边厢，刑警秀珍（裴斗娜 饰）联同后辈李刑警（李珠英 饰）原来一直跟踪着他们，暗中收集证据，决心拉人定案！剧情由暂存箱里的婴儿引发，牵连周遭5个关键人物，展开一段意想不到的独特旅程，触动最微妙的世故人情。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2876193091.jpg
